a,aaac2b1
a1b23d,d32b1ad
a1b2dc,cd2b1ac
a1b2d3,3d2b1a3
a1bc23,32cb1a3
a1bc2d,d2cb1ad
a1bc32,23cb1a2
a1bc3d,d3cb1ad
a1bcd2,2dcb1a2
a1bcd3,3dcb1a3
a1b32c,c23b1ac
a1b32d,d23b1ad
a1b3c2,2c3b1a2
a1b3cd,dc3b1ad
a1b3d2,2d3b1a2
a1b3dc,cd3b1ac
a1bd2c,c2db1ac
a1bd23,32db1a3
a1bdc2,2cdb1a2
a1bdc3,3cdb1a3
a1bd32,23db1a2
a1bd3c,c3db1ac
a12bc3,3cb21a3
a12bcd,dcb21ad
a12b3c,c3b21ac
a12b3d,d3b21ad
a12bdc,cdb21ac
a12bd3,3db21a3
a12cb3,3bc21a3
a12cbd,dbc21ad
a12c3b,b3c21ab
a12c3d,d3c21ad
a12cdb,bdc21ab
a12cd3,3dc21a3
a123bc,cb321ac
a123bd,db321ad
a123cb,bc321ab
a123cd,dc321ad
a123db,bd321ab
a123dc,cd321ac
a12dbc,cbd21ac
a12db3,3bd21a3
a12dcb,bcd21ab
a12dc3,3cd21a3
a12d3b,b3d21ab
a12d3c,c3d21ac
a1cb23,32bc1a3
a1cb2d,d2bc1ad
a1cb32,23bc1a2
a1cb3d,d3bc1ad
a1cbd2,2dbc1a2
a1cbd3,3dbc1a3
a1c2b3,3b2c1a3
a1c2bd,db2c1ad
a1c23b,b32c1ab
a1c23d,d32c1ad
a1c2db,bd2c1ab
a1c2d3,3d2c1a3
a1c3b2,2b3c1a2
a1c3bd,db3c1ad
a1c32b,b23c1ab
a1c32d,d23c1ad
a1c3db,bd3c1ab
a1c3d2,2d3c1a2
a1cdb2,2bdc1a2
a1cdb3,3bdc1a3
a1cd2b,b2dc1ab
a1cd23,32dc1a3
a1cd3b,b3dc1ab
a1cd32,23dc1a2
a13b2c,c2b31ac
a13b2d,d2b31ad
a13bc2,2cb31a2
a13bcd,dcb31ad
a13bd2,2db31a2
a13bdc,cdb31ac
a132bc,cb231ac
a132bd,db231ad
a132cb,bc231ab
a132cd,dc231ad
a132db,bd231ab
a132dc,cd231ac
a13cb2,2bc31a2
a13cbd,dbc31ad
a13c2b,b2c31ab
a13c2d,d2c31ad
a13cdb,bdc31ab
a13cd2,2dc31a2
a13db2,2bd31a2
a13dbc,cbd31ac
a13d2b,b2d31ab
a13d2c,c2d31ac
a13dcb,bcd31ab
a13dc2,2cd31a2
a1db2c,c2bd1ac
a1db23,32bd1a3
a1dbc2,2cbd1a2
a1dbc3,3cbd1a3
a1db32,23bd1a2
a1db3c,c3bd1ac
a1d2bc,cb2d1ac
a1d2b3,3b2d1a3
a1d2cb,bc2d1ab
a1d2c3,3c2d1a3
a1d23b,b32d1ab
a1d23c,c32d1ac
a1dcb2,2bcd1a2
a1dcb3,3bcd1a3
a1dc2b,b2cd1ab
a1dc23,32cd1a3
a1dc3b,b3cd1ab
a1dc32,23cd1a2
a1d3b2,2b3d1a2
a1d3bc,cb3d1ac
a1d32b,b23d1ab
a1d32c,c23d1ac
a1d3cb,bc3d1ab
a1d3c2,2c3d1a2
ab12c3,3c21ba3
ab12cd,dc21bad
ab123c,c321bac
ab123d,d321bad
ab12dc,cd21bac
ab12d3,3d21ba3
ab1c23,32c1ba3
ab1c2d,d2c1bad
ab1c32,23c1ba2
ab1c3d,d3c1bad
ab1cd2,2dc1ba2
ab1cd3,3dc1ba3
ab132c,c231bac
ab132d,d231bad
ab13c2,2c31ba2
ab13cd,dc31bad
ab13d2,2d31ba2
ab13dc,cd31bac
ab1d2c,c2d1bac
ab1d23,32d1ba3
ab1dc2,2cd1ba2
ab1dc3,3cd1ba3
ab1d32,23d1ba2
ab1d3c,c3d1bac
ab21c3,3c12ba3
ab21cd,dc12bad
ab213c,c312bac
ab213d,d312bad
ab21dc,cd12bac
ab21d3,3d12ba3
ab2c13,31c2ba3
ab2c1d,d1c2bad
ab2c31,13c2ba1
ab2c3d,d3c2bad
ab2cd1,1dc2ba1
ab2cd3,3dc2ba3
ab231c,c132bac
ab231d,d132bad
ab23c1,1c32ba1
ab23cd,dc32bad
ab23d1,1d32ba1
ab23dc,cd32bac
ab2d1c,c1d2bac
ab2d13,31d2ba3
ab2dc1,1cd2ba1
ab2dc3,3cd2ba3
ab2d31,13d2ba1
ab2d3c,c3d2bac
abc123,321cba3
abc12d,d21cbad
abc132,231cba2
abc13d,d31cbad
abc1d2,2d1cba2
abc1d3,3d1cba3
abc213,312cba3
abc21d,d12cbad
abc231,132cba1
abc23d,d32cbad
abc2d1,1d2cba1
abc2d3,3d2cba3
abc312,213cba2
abc31d,d13cbad
abc321,123cba1
abc32d,d23cbad
abc3d1,1d3cba1
abc3d2,2d3cba2
abcd12,21dcba2
abcd13,31dcba3
abcd21,12dcba1
abcd23,32dcba3
abcd31,13dcba1
abcd32,23dcba2
ab312c,c213bac
ab312d,d213bad
ab31c2,2c13ba2
ab31cd,dc13bad
ab31d2,2d13ba2
ab31dc,cd13bac
ab321c,c123bac
ab321d,d123bad
ab32c1,1c23ba1
ab32cd,dc23bad
ab32d1,1d23ba1
ab32dc,cd23bac
ab3c12,21c3ba2
ab3c1d,d1c3bad
ab3c21,12c3ba1
ab3c2d,d2c3bad
ab3cd1,1dc3ba1
ab3cd2,2dc3ba2
ab3d12,21d3ba2
ab3d1c,c1d3bac
ab3d21,12d3ba1
ab3d2c,c2d3bac
ab3dc1,1cd3ba1
ab3dc2,2cd3ba2
abd12c,c21dbac
abd123,321dba3
abd1c2,2c1dba2
abd1c3,3c1dba3
abd132,231dba2
abd13c,c31dbac
abd21c,c12dbac
abd213,312dba3
abd2c1,1c2dba1
abd2c3,3c2dba3
abd231,132dba1
abd23c,c32dbac
abdc12,21cdba2
abdc13,31cdba3
abdc21,12cdba1
abdc23,32cdba3
abdc31,13cdba1
abdc32,23cdba2
abd312,213dba2
abd31c,c13dbac
abd321,123dba1
abd32c,c23dbac
abd3c1,1c3dba1
abd3c2,2c3dba2
a21bc3,3cb12a3
a21bcd,dcb12ad
a21b3c,c3b12ac
a21b3d,d3b12ad
a21bdc,cdb12ac
a21bd3,3db12a3
a21cb3,3bc12a3
a21cbd,dbc12ad
a21c3b,b3c12ab
a21c3d,d3c12ad
a21cdb,bdc12ab
a21cd3,3dc12a3
a213bc,cb312ac
a213bd,db312ad
a213cb,bc312ab
a213cd,dc312ad
a213db,bd312ab
a213dc,cd312ac
a21dbc,cbd12ac
a21db3,3bd12a3
a21dcb,bcd12ab
a21dc3,3cd12a3
a21d3b,b3d12ab
a21d3c,c3d12ac
a2b1c3,3c1b2a3
a2b1cd,dc1b2ad
a2b13c,c31b2ac
a2b13d,d31b2ad
a2b1dc,cd1b2ac
a2b1d3,3d1b2a3
a2bc13,31cb2a3
a2bc1d,d1cb2ad
a2bc31,13cb2a1
a2bc3d,d3cb2ad
a2bcd1,1dcb2a1
a2bcd3,3dcb2a3
a2b31c,c13b2ac
a2b31d,d13b2ad
a2b3c1,1c3b2a1
a2b3cd,dc3b2ad
a2b3d1,1d3b2a1
a2b3dc,cd3b2ac
a2bd1c,c1db2ac
a2bd13,31db2a3
a2bdc1,1cdb2a1
a2bdc3,3cdb2a3
a2bd31,13db2a1
a2bd3c,c3db2ac
a2c1b3,3b1c2a3
a2c1bd,db1c2ad
a2c13b,b31c2ab
a2c13d,d31c2ad
a2c1db,bd1c2ab
a2c1d3,3d1c2a3
a2cb13,31bc2a3
a2cb1d,d1bc2ad
a2cb31,13bc2a1
a2cb3d,d3bc2ad
a2cbd1,1dbc2a1
a2cbd3,3dbc2a3
a2c31b,b13c2ab
a2c31d,d13c2ad
a2c3b1,1b3c2a1
a2c3bd,db3c2ad
a2c3d1,1d3c2a1
a2c3db,bd3c2ab
a2cd1b,b1dc2ab
a2cd13,31dc2a3
a2cdb1,1bdc2a1
a2cdb3,3bdc2a3
a2cd31,13dc2a1
a2cd3b,b3dc2ab
a231bc,cb132ac
a231bd,db132ad
a231cb,bc132ab
a231cd,dc132ad
a231db,bd132ab
a231dc,cd132ac
a23b1c,c1b32ac
a23b1d,d1b32ad
a23bc1,1cb32a1
a23bcd,dcb32ad
a23bd1,1db32a1
a23bdc,cdb32ac
a23c1b,b1c32ab
a23c1d,d1c32ad
a23cb1,1bc32a1
a23cbd,dbc32ad
a23cd1,1dc32a1
a23cdb,bdc32ab
a23d1b,b1d32ab
a23d1c,c1d32ac
a23db1,1bd32a1
a23dbc,cbd32ac
a23dc1,1cd32a1
a23dcb,bcd32ab
a2d1bc,cb1d2ac
a2d1b3,3b1d2a3
a2d1cb,bc1d2ab
a2d1c3,3c1d2a3
a2d13b,b31d2ab
a2d13c,c31d2ac
a2db1c,c1bd2ac
a2db13,31bd2a3
a2dbc1,1cbd2a1
a2dbc3,3cbd2a3
a2db31,13bd2a1
a2db3c,c3bd2ac
a2dc1b,b1cd2ab
a2dc13,31cd2a3
a2dcb1,1bcd2a1
a2dcb3,3bcd2a3
a2dc31,13cd2a1
a2dc3b,b3cd2ab
a2d31b,b13d2ab
a2d31c,c13d2ac
a2d3b1,1b3d2a1
a2d3bc,cb3d2ac
a2d3c1,1c3d2a1
a2d3cb,bc3d2ab
ac1b23,32b1ca3
ac1b2d,d2b1cad
ac1b32,23b1ca2
ac1b3d,d3b1cad
ac1bd2,2db1ca2
ac1bd3,3db1ca3
ac12b3,3b21ca3
ac12bd,db21cad
ac123b,b321cab
ac123d,d321cad
ac12db,bd21cab
ac12d3,3d21ca3
ac13b2,2b31ca2
ac13bd,db31cad
ac132b,b231cab
ac132d,d231cad
ac13db,bd31cab
ac13d2,2d31ca2
ac1db2,2bd1ca2
ac1db3,3bd1ca3
ac1d2b,b2d1cab
ac1d23,32d1ca3
ac1d3b,b3d1cab
ac1d32,23d1ca2
acb123,321bca3
acb12d,d21bcad
acb132,231bca2
acb13d,d31bcad
acb1d2,2d1bca2
acb1d3,3d1bca3
acb213,312bca3
acb21d,d12bcad
acb231,132bca1
acb23d,d32bcad
acb2d1,1d2bca1
acb2d3,3d2bca3
acb312,213bca2
acb31d,d13bcad
acb321,123bca1
acb32d,d23bcad
acb3d1,1d3bca1
acb3d2,2d3bca2
acbd12,21dbca2
acbd13,31dbca3
acbd21,12dbca1
acbd23,32dbca3
acbd31,13dbca1
acbd32,23dbca2
ac21b3,3b12ca3
ac21bd,db12cad
ac213b,b312cab
ac213d,d312cad
ac21db,bd12cab
ac21d3,3d12ca3
ac2b13,31b2ca3
ac2b1d,d1b2cad
ac2b31,13b2ca1
ac2b3d,d3b2cad
ac2bd1,1db2ca1
ac2bd3,3db2ca3
ac231b,b132cab
ac231d,d132cad
ac23b1,1b32ca1
ac23bd,db32cad
ac23d1,1d32ca1
ac23db,bd32cab
ac2d1b,b1d2cab
ac2d13,31d2ca3
ac2db1,1bd2ca1
ac2db3,3bd2ca3
ac2d31,13d2ca1
ac2d3b,b3d2cab
ac31b2,2b13ca2
ac31bd,db13cad
ac312b,b213cab
ac312d,d213cad
ac31db,bd13cab
ac31d2,2d13ca2
ac3b12,21b3ca2
ac3b1d,d1b3cad
ac3b21,12b3ca1
ac3b2d,d2b3cad
ac3bd1,1db3ca1
ac3bd2,2db3ca2
ac321b,b123cab
ac321d,d123cad
ac32b1,1b23ca1
ac32bd,db23cad
ac32d1,1d23ca1
ac32db,bd23cab
ac3d1b,b1d3cab
ac3d12,21d3ca2
ac3db1,1bd3ca1
ac3db2,2bd3ca2
ac3d21,12d3ca1
ac3d2b,b2d3cab
acd1b2,2b1dca2
acd1b3,3b1dca3
acd12b,b21dcab
acd123,321dca3
acd13b,b31dcab
acd132,231dca2
acdb12,21bdca2
acdb13,31bdca3
acdb21,12bdca1
acdb23,32bdca3
acdb31,13bdca1
acdb32,23bdca2
acd21b,b12dcab
acd213,312dca3
acd2b1,1b2dca1
acd2b3,3b2dca3
acd231,132dca1
acd23b,b32dcab
acd31b,b13dcab
acd312,213dca2
acd3b1,1b3dca1
acd3b2,2b3dca2
acd321,123dca1
acd32b,b23dcab
a31b2c,c2b13ac
a31b2d,d2b13ad
a31bc2,2cb13a2
a31bcd,dcb13ad
a31bd2,2db13a2
a31bdc,cdb13ac
a312bc,cb213ac
a312bd,db213ad
a312cb,bc213ab
a312cd,dc213ad
a312db,bd213ab
a312dc,cd213ac
a31cb2,2bc13a2
a31cbd,dbc13ad
a31c2b,b2c13ab
a31c2d,d2c13ad
a31cdb,bdc13ab
a31cd2,2dc13a2
a31db2,2bd13a2
a31dbc,cbd13ac
a31d2b,b2d13ab
a31d2c,c2d13ac
a31dcb,bcd13ab
a31dc2,2cd13a2
a3b12c,c21b3ac
a3b12d,d21b3ad
a3b1c2,2c1b3a2
a3b1cd,dc1b3ad
a3b1d2,2d1b3a2
a3b1dc,cd1b3ac
a3b21c,c12b3ac
a3b21d,d12b3ad
a3b2c1,1c2b3a1
a3b2cd,dc2b3ad
a3b2d1,1d2b3a1
a3b2dc,cd2b3ac
a3bc12,21cb3a2
a3bc1d,d1cb3ad
a3bc21,12cb3a1
a3bc2d,d2cb3ad
a3bcd1,1dcb3a1
a3bcd2,2dcb3a2
a3bd12,21db3a2
a3bd1c,c1db3ac
a3bd21,12db3a1
a3bd2c,c2db3ac
a3bdc1,1cdb3a1
a3bdc2,2cdb3a2
a321bc,cb123ac
a321bd,db123ad
a321cb,bc123ab
a321cd,dc123ad
a321db,bd123ab
a321dc,cd123ac
a32b1c,c1b23ac
a32b1d,d1b23ad
a32bc1,1cb23a1
a32bcd,dcb23ad
a32bd1,1db23a1
a32bdc,cdb23ac
a32c1b,b1c23ab
a32c1d,d1c23ad
a32cb1,1bc23a1
a32cbd,dbc23ad
a32cd1,1dc23a1
a32cdb,bdc23ab
a32d1b,b1d23ab
a32d1c,c1d23ac
a32db1,1bd23a1
a32dbc,cbd23ac
a32dc1,1cd23a1
a32dcb,bcd23ab
a3c1b2,2b1c3a2
a3c1bd,db1c3ad
a3c12b,b21c3ab
a3c12d,d21c3ad
a3c1db,bd1c3ab
a3c1d2,2d1c3a2
a3cb12,21bc3a2
a3cb1d,d1bc3ad
a3cb21,12bc3a1
a3cb2d,d2bc3ad
a3cbd1,1dbc3a1
a3cbd2,2dbc3a2
a3c21b,b12c3ab
a3c21d,d12c3ad
a3c2b1,1b2c3a1
a3c2bd,db2c3ad
a3c2d1,1d2c3a1
a3c2db,bd2c3ab
a3cd1b,b1dc3ab
a3cd12,21dc3a2
a3cdb1,1bdc3a1
a3cdb2,2bdc3a2
a3cd21,12dc3a1
a3cd2b,b2dc3ab
a3d1b2,2b1d3a2
a3d1bc,cb1d3ac
a3d12b,b21d3ab
a3d12c,c21d3ac
a3d1cb,bc1d3ab
a3d1c2,2c1d3a2
a3db12,21bd3a2
a3db1c,c1bd3ac
a3db21,12bd3a1
a3db2c,c2bd3ac
a3dbc1,1cbd3a1
a3dbc2,2cbd3a2
a3d21b,b12d3ab
a3d21c,c12d3ac
a3d2b1,1b2d3a1
a3d2bc,cb2d3ac
a3d2c1,1c2d3a1
a3d2cb,bc2d3ab
a3dc1b,b1cd3ab
a3dc12,21cd3a2
a3dcb1,1bcd3a1
a3dcb2,2bcd3a2
a3dc21,12cd3a1
a3dc2b,b2cd3ab
ad1b2c,c2b1dac
ad1b23,32b1da3
ad1bc2,2cb1da2
ad1bc3,3cb1da3
ad1b32,23b1da2
ad1b3c,c3b1dac
ad12bc,cb21dac
ad12b3,3b21da3
ad12cb,bc21dab
ad12c3,3c21da3
ad123b,b321dab
ad123c,c321dac
ad1cb2,2bc1da2
ad1cb3,3bc1da3
ad1c2b,b2c1dab
ad1c23,32c1da3
ad1c3b,b3c1dab
ad1c32,23c1da2
ad13b2,2b31da2
ad13bc,cb31dac
ad132b,b231dab
ad132c,c231dac
ad13cb,bc31dab
ad13c2,2c31da2
adb12c,c21bdac
adb123,321bda3
adb1c2,2c1bda2
adb1c3,3c1bda3
adb132,231bda2
adb13c,c31bdac
adb21c,c12bdac
adb213,312bda3
adb2c1,1c2bda1
adb2c3,3c2bda3
adb231,132bda1
adb23c,c32bdac
adbc12,21cbda2
adbc13,31cbda3
adbc21,12cbda1
adbc23,32cbda3
adbc31,13cbda1
adbc32,23cbda2
adb312,213bda2
adb31c,c13bdac
adb321,123bda1
adb32c,c23bdac
adb3c1,1c3bda1
adb3c2,2c3bda2
ad21bc,cb12dac
ad21b3,3b12da3
ad21cb,bc12dab
ad21c3,3c12da3
ad213b,b312dab
ad213c,c312dac
ad2b1c,c1b2dac
ad2b13,31b2da3
ad2bc1,1cb2da1
ad2bc3,3cb2da3
ad2b31,13b2da1
ad2b3c,c3b2dac
ad2c1b,b1c2dab
ad2c13,31c2da3
ad2cb1,1bc2da1
ad2cb3,3bc2da3
ad2c31,13c2da1
ad2c3b,b3c2dab
ad231b,b132dab
ad231c,c132dac
ad23b1,1b32da1
ad23bc,cb32dac
ad23c1,1c32da1
ad23cb,bc32dab
adc1b2,2b1cda2
adc1b3,3b1cda3
adc12b,b21cdab
adc123,321cda3
adc13b,b31cdab
adc132,231cda2
adcb12,21bcda2
adcb13,31bcda3
adcb21,12bcda1
adcb23,32bcda3
adcb31,13bcda1
adcb32,23bcda2
adc21b,b12cdab
adc213,312cda3
adc2b1,1b2cda1
adc2b3,3b2cda3
adc231,132cda1
adc23b,b32cdab
adc31b,b13cdab
adc312,213cda2
adc3b1,1b3cda1
adc3b2,2b3cda2
adc321,123cda1
adc32b,b23cdab
ad31b2,2b13da2
ad31bc,cb13dac
ad312b,b213dab
ad312c,c213dac
ad31cb,bc13dab
ad31c2,2c13da2
ad3b12,21b3da2
ad3b1c,c1b3dac
ad3b21,12b3da1
ad3b2c,c2b3dac
ad3bc1,1cb3da1
ad3bc2,2cb3da2
ad321b,b123dab
ad321c,c123dac
ad32b1,1b23da1
ad32bc,cb23dac
ad32c1,1c23da1
ad32cb,bc23dab
ad3c1b,b1c3dab
ad3c12,21c3da2
ad3cb1,1bc3da1
ad3cb2,2bc3da2
ad3c21,12c3da1
ad3c2b,b2c3dab
1ab2c3,3c2ba13
1ab2cd,dc2ba1d
1ab23c,c32ba1c
1ab23d,d32ba1d
1ab2dc,cd2ba1c
1ab2d3,3d2ba13
1abc23,32cba13
1abc2d,d2cba1d
1abc32,23cba12
1abc3d,d3cba1d
1abcd2,2dcba12
1abcd3,3dcba13
1ab32c,c23ba1c
1ab32d,d23ba1d
1ab3c2,2c3ba12
1ab3cd,dc3ba1d
1ab3d2,2d3ba12
1ab3dc,cd3ba1c
1abd2c,c2dba1c
1abd23,32dba13
1abdc2,2cdba12
1abdc3,3cdba13
1abd32,23dba12
1abd3c,c3dba1c
1a2bc3,3cb2a13
1a2bcd,dcb2a1d
1a2b3c,c3b2a1c
1a2b3d,d3b2a1d
1a2bdc,cdb2a1c
1a2bd3,3db2a13
1a2cb3,3bc2a13
1a2cbd,dbc2a1d
1a2c3b,b3c2a1b
1a2c3d,d3c2a1d
1a2cdb,bdc2a1b
1a2cd3,3dc2a13
1a23bc,cb32a1c
1a23bd,db32a1d
1a23cb,bc32a1b
1a23cd,dc32a1d
1a23db,bd32a1b
1a23dc,cd32a1c
1a2dbc,cbd2a1c
1a2db3,3bd2a13
1a2dcb,bcd2a1b
1a2dc3,3cd2a13
1a2d3b,b3d2a1b
1a2d3c,c3d2a1c
1acb23,32bca13
1acb2d,d2bca1d
1acb32,23bca12
1acb3d,d3bca1d
1acbd2,2dbca12
1acbd3,3dbca13
1ac2b3,3b2ca13
1ac2bd,db2ca1d
1ac23b,b32ca1b
1ac23d,d32ca1d
1ac2db,bd2ca1b
1ac2d3,3d2ca13
1ac3b2,2b3ca12
1ac3bd,db3ca1d
1ac32b,b23ca1b
1ac32d,d23ca1d
1ac3db,bd3ca1b
1ac3d2,2d3ca12
1acdb2,2bdca12
1acdb3,3bdca13
1acd2b,b2dca1b
1acd23,32dca13
1acd3b,b3dca1b
1acd32,23dca12
1a3b2c,c2b3a1c
1a3b2d,d2b3a1d
1a3bc2,2cb3a12
1a3bcd,dcb3a1d
1a3bd2,2db3a12
1a3bdc,cdb3a1c
1a32bc,cb23a1c
1a32bd,db23a1d
1a32cb,bc23a1b
1a32cd,dc23a1d
1a32db,bd23a1b
1a32dc,cd23a1c
1a3cb2,2bc3a12
1a3cbd,dbc3a1d
1a3c2b,b2c3a1b
1a3c2d,d2c3a1d
1a3cdb,bdc3a1b
1a3cd2,2dc3a12
1a3db2,2bd3a12
1a3dbc,cbd3a1c
1a3d2b,b2d3a1b
1a3d2c,c2d3a1c
1a3dcb,bcd3a1b
1a3dc2,2cd3a12
1adb2c,c2bda1c
1adb23,32bda13
1adbc2,2cbda12
1adbc3,3cbda13
1adb32,23bda12
1adb3c,c3bda1c
1ad2bc,cb2da1c
1ad2b3,3b2da13
1ad2cb,bc2da1b
1ad2c3,3c2da13
1ad23b,b32da1b
1ad23c,c32da1c
1adcb2,2bcda12
1adcb3,3bcda13
1adc2b,b2cda1b
1adc23,32cda13
1adc3b,b3cda1b
1adc32,23cda12
1ad3b2,2b3da12
1ad3bc,cb3da1c
1ad32b,b23da1b
1ad32c,c23da1c
1ad3cb,bc3da1b
1ad3c2,2c3da12
1ba2c3,3c2ab13
1ba2cd,dc2ab1d
1ba23c,c32ab1c
1ba23d,d32ab1d
1ba2dc,cd2ab1c
1ba2d3,3d2ab13
1bac23,32cab13
1bac2d,d2cab1d
1bac32,23cab12
1bac3d,d3cab1d
1bacd2,2dcab12
1bacd3,3dcab13
1ba32c,c23ab1c
1ba32d,d23ab1d
1ba3c2,2c3ab12
1ba3cd,dc3ab1d
1ba3d2,2d3ab12
1ba3dc,cd3ab1c
1bad2c,c2dab1c
1bad23,32dab13
1badc2,2cdab12
1badc3,3cdab13
1bad32,23dab12
1bad3c,c3dab1c
1b2ac3,3ca2b13
1b2acd,dca2b1d
1b2a3c,c3a2b1c
1b2a3d,d3a2b1d
1b2adc,cda2b1c
1b2ad3,3da2b13
1b2ca3,3ac2b13
1b2cad,dac2b1d
1b2c3a,a3c2b1a
1b2c3d,d3c2b1d
1b2cda,adc2b1a
1b2cd3,3dc2b13
1b23ac,ca32b1c
1b23ad,da32b1d
1b23ca,ac32b1a
1b23cd,dc32b1d
1b23da,ad32b1a
1b23dc,cd32b1c
1b2dac,cad2b1c
1b2da3,3ad2b13
1b2dca,acd2b1a
1b2dc3,3cd2b13
1b2d3a,a3d2b1a
1b2d3c,c3d2b1c
1bca23,32acb13
1bca2d,d2acb1d
1bca32,23acb12
1bca3d,d3acb1d
1bcad2,2dacb12
1bcad3,3dacb13
1bc2a3,3a2cb13
1bc2ad,da2cb1d
1bc23a,a32cb1a
1bc23d,d32cb1d
1bc2da,ad2cb1a
1bc2d3,3d2cb13
1bc3a2,2a3cb12
1bc3ad,da3cb1d
1bc32a,a23cb1a
1bc32d,d23cb1d
1bc3da,ad3cb1a
1bc3d2,2d3cb12
1bcda2,2adcb12
1bcda3,3adcb13
1bcd2a,a2dcb1a
1bcd23,32dcb13
1bcd3a,a3dcb1a
1bcd32,23dcb12
1b3a2c,c2a3b1c
1b3a2d,d2a3b1d
1b3ac2,2ca3b12
1b3acd,dca3b1d
1b3ad2,2da3b12
1b3adc,cda3b1c
1b32ac,ca23b1c
1b32ad,da23b1d
1b32ca,ac23b1a
1b32cd,dc23b1d
1b32da,ad23b1a
1b32dc,cd23b1c
1b3ca2,2ac3b12
1b3cad,dac3b1d
1b3c2a,a2c3b1a
1b3c2d,d2c3b1d
1b3cda,adc3b1a
1b3cd2,2dc3b12
1b3da2,2ad3b12
1b3dac,cad3b1c
1b3d2a,a2d3b1a
1b3d2c,c2d3b1c
1b3dca,acd3b1a
1b3dc2,2cd3b12
1bda2c,c2adb1c
1bda23,32adb13
1bdac2,2cadb12
1bdac3,3cadb13
1bda32,23adb12
1bda3c,c3adb1c
1bd2ac,ca2db1c
1bd2a3,3a2db13
1bd2ca,ac2db1a
1bd2c3,3c2db13
1bd23a,a32db1a
1bd23c,c32db1c
1bdca2,2acdb12
1bdca3,3acdb13
1bdc2a,a2cdb1a
1bdc23,32cdb13
1bdc3a,a3cdb1a
1bdc32,23cdb12
1bd3a2,2a3db12
1bd3ac,ca3db1c
1bd32a,a23db1a
1bd32c,c23db1c
1bd3ca,ac3db1a
1bd3c2,2c3db12
12abc3,3cba213
12abcd,dcba21d
12ab3c,c3ba21c
12ab3d,d3ba21d
12abdc,cdba21c
12abd3,3dba213
12acb3,3bca213
12acbd,dbca21d
12ac3b,b3ca21b
12ac3d,d3ca21d
12acdb,bdca21b
12acd3,3dca213
12a3bc,cb3a21c
12a3bd,db3a21d
12a3cb,bc3a21b
12a3cd,dc3a21d
12a3db,bd3a21b
12a3dc,cd3a21c
12adbc,cbda21c
12adb3,3bda213
12adcb,bcda21b
12adc3,3cda213
12ad3b,b3da21b
12ad3c,c3da21c
12bac3,3cab213
12bacd,dcab21d
12ba3c,c3ab21c
12ba3d,d3ab21d
12badc,cdab21c
12bad3,3dab213
12bca3,3acb213
12bcad,dacb21d
12bc3a,a3cb21a
12bc3d,d3cb21d
12bcda,adcb21a
12bcd3,3dcb213
12b3ac,ca3b21c
12b3ad,da3b21d
12b3ca,ac3b21a
12b3cd,dc3b21d
12b3da,ad3b21a
12b3dc,cd3b21c
12bdac,cadb21c
12bda3,3adb213
12bdca,acdb21a
12bdc3,3cdb213
12bd3a,a3db21a
12bd3c,c3db21c
12cab3,3bac213
12cabd,dbac21d
12ca3b,b3ac21b
12ca3d,d3ac21d
12cadb,bdac21b
12cad3,3dac213
12cba3,3abc213
12cbad,dabc21d
12cb3a,a3bc21a
12cb3d,d3bc21d
12cbda,adbc21a
12cbd3,3dbc213
12c3ab,ba3c21b
12c3ad,da3c21d
12c3ba,ab3c21a
12c3bd,db3c21d
12c3da,ad3c21a
12c3db,bd3c21b
12cdab,badc21b
12cda3,3adc213
12cdba,abdc21a
12cdb3,3bdc213
12cd3a,a3dc21a
12cd3b,b3dc21b
123abc,cba321c
123abd,dba321d
123acb,bca321b
123acd,dca321d
123adb,bda321b
123adc,cda321c
123bac,cab321c
123bad,dab321d
123bca,acb321a
123bcd,dcb321d
123bda,adb321a
123bdc,cdb321c
123cab,bac321b
123cad,dac321d
123cba,abc321a
123cbd,dbc321d
123cda,adc321a
123cdb,bdc321b
123dab,bad321b
123dac,cad321c
123dba,abd321a
123dbc,cbd321c
123dca,acd321a
123dcb,bcd321b
12dabc,cbad21c
12dab3,3bad213
12dacb,bcad21b
12dac3,3cad213
12da3b,b3ad21b
12da3c,c3ad21c
12dbac,cabd21c
12dba3,3abd213
12dbca,acbd21a
12dbc3,3cbd213
12db3a,a3bd21a
12db3c,c3bd21c
12dcab,bacd21b
12dca3,3acd213
12dcba,abcd21a
12dcb3,3bcd213
12dc3a,a3cd21a
12dc3b,b3cd21b
12d3ab,ba3d21b
12d3ac,ca3d21c
12d3ba,ab3d21a
12d3bc,cb3d21c
12d3ca,ac3d21a
12d3cb,bc3d21b
1cab23,32bac13
1cab2d,d2bac1d
1cab32,23bac12
1cab3d,d3bac1d
1cabd2,2dbac12
1cabd3,3dbac13
1ca2b3,3b2ac13
1ca2bd,db2ac1d
1ca23b,b32ac1b
1ca23d,d32ac1d
1ca2db,bd2ac1b
1ca2d3,3d2ac13
1ca3b2,2b3ac12
1ca3bd,db3ac1d
1ca32b,b23ac1b
1ca32d,d23ac1d
1ca3db,bd3ac1b
1ca3d2,2d3ac12
1cadb2,2bdac12
1cadb3,3bdac13
1cad2b,b2dac1b
1cad23,32dac13
1cad3b,b3dac1b
1cad32,23dac12
1cba23,32abc13
1cba2d,d2abc1d
1cba32,23abc12
1cba3d,d3abc1d
1cbad2,2dabc12
1cbad3,3dabc13
1cb2a3,3a2bc13
