a,aaa2b1
a32bc1,1cb23a
a32c1b,b1c23a
a32cb1,1bc23a
a3c1b2,2b1c3a
a3c12b,b21c3a
a3cb12,21bc3a
a3cb21,12bc3a
a3c21b,b12c3a
a3c2b1,1b2c3a
1ab2c3,3c2ba1
1ab23c,c32ba1
1abc23,32cba1
1abc32,23cba1
1ab32c,c23ba1
1ab3c2,2c3ba1
1a2bc3,3cb2a1
1a2b3c,c3b2a1
1a2cb3,3bc2a1
1a2c3b,b3c2a1
1a23bc,cb32a1
1a23cb,bc32a1
1acb23,32bca1
1acb32,23bca1
1ac2b3,3b2ca1
1ac23b,b32ca1
1ac3b2,2b3ca1
1ac32b,b23ca1
1a3b2c,c2b3a1
1a3bc2,2cb3a1
1a32bc,cb23a1
1a32cb,bc23a1
1a3cb2,2bc3a1
1a3c2b,b2c3a1
1ba2c3,3c2ab1
1ba23c,c32ab1
1bac23,32cab1
1bac32,23cab1
1ba32c,c23ab1
1ba3c2,2c3ab1
1b2ac3,3ca2b1
1b2a3c,c3a2b1
1b2ca3,3ac2b1
1b2c3a,a3c2b1
1b23ac,ca32b1
1b23ca,ac32b1
1bca23,32acb1
1bca32,23acb1
1bc2a3,3a2cb1
1bc23a,a32cb1
1bc3a2,2a3cb1
1bc32a,a23cb1
1b3a2c,c2a3b1
1b3ac2,2ca3b1
1b32ac,ca23b1
1b32ca,ac23b1
1b3ca2,2ac3b1
1b3c2a,a2c3b1
12abc3,3cba21
12ab3c,c3ba21
12acb3,3bca21
12ac3b,b3ca21
12a3bc,cb3a21
12a3cb,bc3a21
12bac3,3cab21
12ba3c,c3ab21
12bca3,3acb21
12bc3a,a3cb21
12b3ac,ca3b21
12b3ca,ac3b21
12cab3,3bac21
12ca3b,b3ac21
12cba3,3abc21
12cb3a,a3bc21
12c3ab,ba3c21
12c3ba,ab3c21
123abc,cba321
123acb,bca321
123bac,cab321
123bca,acb321
123cab,bac321
123cba,abc321
1cab23,32bac1
1cab32,23bac1
1ca2b3,3b2ac1
1ca23b,b32ac1
1ca3b2,2b3ac1
1ca32b,b23ac1
1cba23,32abc1
1cba32,23abc1
1cb2a3,3a2bc1
1cb23a,a32bc1
1cb3a2,2a3bc1
1cb32a,a23bc1
1c2ab3,3ba2c1
1c2a3b,b3a2c1
1c2ba3,3ab2c1
1c2b3a,a3b2c1
1c23ab,ba32c1
1c23ba,ab32c1
1c3ab2,2ba3c1
1c3a2b,b2a3c1
1c3ba2,2ab3c1
1c3b2a,a2b3c1
1c32ab,ba23c1
1c32ba,ab23c1
13ab2c,c2ba31
13abc2,2cba31
13a2bc,cb2a31
13a2cb,bc2a31
13acb2,2bca31
13ac2b,b2ca31
13ba2c,c2ab31
13bac2,2cab31
13b2ac,ca2b31
13b2ca,ac2b31
13bca2,2acb31
13bc2a,a2cb31
132abc,cba231
132acb,bca231
132bac,cab231
132bca,acb231
132cab,bac231
132cba,abc231
13cab2,2bac31
13ca2b,b2ac31
13cba2,2abc31
13cb2a,a2bc31
13c2ab,ba2c31
13c2ba,ab2c31
ba12c3,3c21ab
ba123c,c321ab
ba1c23,32c1ab
ba1c32,23c1ab
ba132c,c231ab
ba13c2,2c31ab
ba21c3,3c12ab
ba213c,c312ab
ba2c13,31c2ab
ba2c31,13c2ab
ba231c,c132ab
ba23c1,1c32ab
bac123,321cab
bac132,231cab
bac213,312cab
bac231,132cab
bac312,213cab
bac321,123cab
ba312c,c213ab
ba31c2,2c13ab
ba321c,c123ab
ba32c1,1c23ab
ba3c12,21c3ab
ba3c21,12c3ab
b1a2c3,3c2a1b
b1a23c,c32a1b
b1ac23,32ca1b
b1ac32,23ca1b
b1a32c,c23a1b
b1a3c2,2c3a1b
b12ac3,3ca21b
b12a3c,c3a21b
b12ca3,3ac21b
b12c3a,a3c21b
b123ac,ca321b
b123ca,ac321b
b1ca23,32ac1b
b1ca32,23ac1b
b1c2a3,3a2c1b
b1c23a,a32c1b
b1c3a2,2a3c1b
b1c32a,a23c1b
b13a2c,c2a31b
b13ac2,2ca31b
b132ac,ca231b
b132ca,ac231b
b13ca2,2ac31b
b13c2a,a2c31b
b2a1c3,3c1a2b
b2a13c,c31a2b
b2ac13,31ca2b
b2ac31,13ca2b
b2a31c,c13a2b
b2a3c1,1c3a2b
b21ac3,3ca12b
b21a3c,c3a12b
b21ca3,3ac12b
b21c3a,a3c12b
b213ac,ca312b
b213ca,ac312b
b2ca13,31ac2b
b2ca31,13ac2b
b2c1a3,3a1c2b
b2c13a,a31c2b
b2c3a1,1a3c2b
b2c31a,a13c2b
b23a1c,c1a32b
b23ac1,1ca32b
b231ac,ca132b
b231ca,ac132b
b23ca1,1ac32b
b23c1a,a1c32b
bca123,321acb
bca132,231acb
bca213,312acb
bca231,132acb
bca312,213acb
bca321,123acb
bc1a23,32a1cb
bc1a32,23a1cb
bc12a3,3a21cb
bc123a,a321cb
bc13a2,2a31cb
bc132a,a231cb
bc2a13,31a2cb
bc2a31,13a2cb
bc21a3,3a12cb
bc213a,a312cb
bc23a1,1a32cb
bc231a,a132cb
bc3a12,21a3cb
bc3a21,12a3cb
bc31a2,2a13cb
bc312a,a213cb
bc32a1,1a23cb
bc321a,a123cb
b3a12c,c21a3b
b3a1c2,2c1a3b
b3a21c,c12a3b
b3a2c1,1c2a3b
b3ac12,21ca3b
b3ac21,12ca3b
b31a2c,c2a13b
b31ac2,2ca13b
b312ac,ca213b
b312ca,ac213b
b31ca2,2ac13b
b31c2a,a2c13b
b32a1c,c1a23b
b32ac1,1ca23b
b321ac,ca123b
b321ca,ac123b
b32ca1,1ac23b
b32c1a,a1c23b
b3ca12,21ac3b
b3ca21,12ac3b
b3c1a2,2a1c3b
b3c12a,a21c3b
b3c2a1,1a2c3b
b3c21a,a12c3b
2a1bc3,3cb1a2
2a1b3c,c3b1a2
2a1cb3,3bc1a2
2a1c3b,b3c1a2
2a13bc,cb31a2
2a13cb,bc31a2
2ab1c3,3c1ba2
2ab13c,c31ba2
2abc13,31cba2
2abc31,13cba2
2ab31c,c13ba2
2ab3c1,1c3ba2
2ac1b3,3b1ca2
2ac13b,b31ca2
2acb13,31bca2
2acb31,13bca2
2ac31b,b13ca2
2ac3b1,1b3ca2
2a31bc,cb13a2
2a31cb,bc13a2
2a3b1c,c1b3a2
2a3bc1,1cb3a2
2a3c1b,b1c3a2
2a3cb1,1bc3a2
21abc3,3cba12
21ab3c,c3ba12
21acb3,3bca12
21ac3b,b3ca12
21a3bc,cb3a12
21a3cb,bc3a12
21bac3,3cab12
21ba3c,c3ab12
21bca3,3acb12
21bc3a,a3cb12
21b3ac,ca3b12
21b3ca,ac3b12
21cab3,3bac12
21ca3b,b3ac12
21cba3,3abc12
21cb3a,a3bc12
21c3ab,ba3c12
21c3ba,ab3c12
213abc,cba312
213acb,bca312
213bac,cab312
213bca,acb312
213cab,bac312
213cba,abc312
2ba1c3,3c1ab2
2ba13c,c31ab2
2bac13,31cab2
2bac31,13cab2
2ba31c,c13ab2
2ba3c1,1c3ab2
2b1ac3,3ca1b2
2b1a3c,c3a1b2
2b1ca3,3ac1b2
2b1c3a,a3c1b2
2b13ac,ca31b2
2b13ca,ac31b2
2bca13,31acb2
2bca31,13acb2
2bc1a3,3a1cb2
2bc13a,a31cb2
2bc3a1,1a3cb2
2bc31a,a13cb2
2b3a1c,c1a3b2
2b3ac1,1ca3b2
2b31ac,ca13b2
2b31ca,ac13b2
2b3ca1,1ac3b2
2b3c1a,a1c3b2
2ca1b3,3b1ac2
2ca13b,b31ac2
2cab13,31bac2
2cab31,13bac2
2ca31b,b13ac2
2ca3b1,1b3ac2
2c1ab3,3ba1c2
2c1a3b,b3a1c2
2c1ba3,3ab1c2
2c1b3a,a3b1c2
2c13ab,ba31c2
2c13ba,ab31c2
2cba13,31abc2
2cba31,13abc2
2cb1a3,3a1bc2
2cb13a,a31bc2
2cb3a1,1a3bc2
2cb31a,a13bc2
2c3a1b,b1a3c2
2c3ab1,1ba3c2
2c31ab,ba13c2
2c31ba,ab13c2
2c3ba1,1ab3c2
2c3b1a,a1b3c2
23a1bc,cb1a32
23a1cb,bc1a32
23ab1c,c1ba32
23abc1,1cba32
23ac1b,b1ca32
23acb1,1bca32
231abc,cba132
231acb,bca132
231bac,cab132
231bca,acb132
231cab,bac132
231cba,abc132
23ba1c,c1ab32
23bac1,1cab32
23b1ac,ca1b32
23b1ca,ac1b32
23bca1,1acb32
23bc1a,a1cb32
23ca1b,b1ac32
23cab1,1bac32
23c1ab,ba1c32
23c1ba,ab1c32
23cba1,1abc32
23cb1a,a1bc32
ca1b23,32b1ac
ca1b32,23b1ac
ca12b3,3b21ac
ca123b,b321ac
ca13b2,2b31ac
ca132b,b231ac
cab123,321bac
cab132,231bac
cab213,312bac
cab231,132bac
cab312,213bac
cab321,123bac
ca21b3,3b12ac
ca213b,b312ac
ca2b13,31b2ac
ca2b31,13b2ac
ca231b,b132ac
ca23b1,1b32ac
ca31b2,2b13ac
ca312b,b213ac
ca3b12,21b3ac
ca3b21,12b3ac
ca321b,b123ac
ca32b1,1b23ac
c1ab23,32ba1c
c1ab32,23ba1c
c1a2b3,3b2a1c
c1a23b,b32a1c
c1a3b2,2b3a1c
c1a32b,b23a1c
c1ba23,32ab1c
c1ba32,23ab1c
c1b2a3,3a2b1c
c1b23a,a32b1c
c1b3a2,2a3b1c
c1b32a,a23b1c
c12ab3,3ba21c
c12a3b,b3a21c
c12ba3,3ab21c
c12b3a,a3b21c
c123ab,ba321c
c123ba,ab321c
c13ab2,2ba31c
c13a2b,b2a31c
c13ba2,2ab31c
c13b2a,a2b31c
c132ab,ba231c
c132ba,ab231c
cba123,321abc
cba132,231abc
cba213,312abc
cba231,132abc
cba312,213abc
cba321,123abc
cb1a23,32a1bc
cb1a32,23a1bc
cb12a3,3a21bc
cb123a,a321bc
cb13a2,2a31bc
cb132a,a231bc
cb2a13,31a2bc
cb2a31,13a2bc
cb21a3,3a12bc
cb213a,a312bc
cb23a1,1a32bc
cb231a,a132bc
cb3a12,21a3bc
cb3a21,12a3bc
cb31a2,2a13bc
cb312a,a213bc
cb32a1,1a23bc
cb321a,a123bc
c2a1b3,3b1a2c
c2a13b,b31a2c
c2ab13,31ba2c
c2ab31,13ba2c
c2a31b,b13a2c
c2a3b1,1b3a2c
c21ab3,3ba12c
c21a3b,b3a12c
c21ba3,3ab12c
c21b3a,a3b12c
c213ab,ba312c
c213ba,ab312c
c2ba13,31ab2c
c2ba31,13ab2c
c2b1a3,3a1b2c
c2b13a,a31b2c
c2b3a1,1a3b2c
c2b31a,a13b2c
c23a1b,b1a32c
c23ab1,1ba32c
c231ab,ba132c
c231ba,ab132c
c23ba1,1ab32c
c23b1a,a1b32c
c3a1b2,2b1a3c
c3a12b,b21a3c
c3ab12,21ba3c
c3ab21,12ba3c
c3a21b,b12a3c
c3a2b1,1b2a3c
c31ab2,2ba13c
c31a2b,b2a13c
c31ba2,2ab13c
c31b2a,a2b13c
c312ab,ba213c
c312ba,ab213c
c3ba12,21ab3c
c3ba21,12ab3c
c3b1a2,2a1b3c
c3b12a,a21b3c
c3b2a1,1a2b3c
c3b21a,a12b3c
c32a1b,b1a23c
c32ab1,1ba23c
c321ab,ba123c
c321ba,ab123c
c32ba1,1ab23c
c32b1a,a1b23c
3a1b2c,c2b1a3
3a1bc2,2cb1a3
3a12bc,cb21a3
3a12cb,bc21a3
3a1cb2,2bc1a3
3a1c2b,b2c1a3
3ab12c,c21ba3
3ab1c2,2c1ba3
3ab21c,c12ba3
3ab2c1,1c2ba3
3abc12,21cba3
3abc21,12cba3
3a21bc,cb12a3
3a21cb,bc12a3
3a2b1c,c1b2a3
3a2bc1,1cb2a3
3a2c1b,b1c2a3
3a2cb1,1bc2a3
3ac1b2,2b1ca3
3ac12b,b21ca3
3acb12,21bca3
3acb21,12bca3
3ac21b,b12ca3
3ac2b1,1b2ca3
31ab2c,c2ba13
31abc2,2cba13
31a2bc,cb2a13
31a2cb,bc2a13
31acb2,2bca13
31ac2b,b2ca13
31ba2c,c2ab13
31bac2,2cab13
31b2ac,ca2b13
31b2ca,ac2b13
31bca2,2acb13
31bc2a,a2cb13
312abc,cba213
312acb,bca213
312bac,cab213
312bca,acb213
312cab,bac213
312cba,abc213
31cab2,2bac13
31ca2b,b2ac13
31cba2,2abc13
31cb2a,a2bc13
31c2ab,ba2c13
31c2ba,ab2c13
3ba12c,c21ab3
3ba1c2,2c1ab3
3ba21c,c12ab3
3ba2c1,1c2ab3
3bac12,21cab3
3bac21,12cab3
3b1a2c,c2a1b3
3b1ac2,2ca1b3
3b12ac,ca21b3
3b12ca,ac21b3
3b1ca2,2ac1b3
3b1c2a,a2c1b3
3b2a1c,c1a2b3
3b2ac1,1ca2b3
3b21ac,ca12b3
3b21ca,ac12b3
3b2ca1,1ac2b3
3b2c1a,a1c2b3
3bca12,21acb3
3bca21,12acb3
3bc1a2,2a1cb3
3bc12a,a21cb3
3bc2a1,1a2cb3
3bc21a,a12cb3
32a1bc,cb1a23
32a1cb,bc1a23
32ab1c,c1ba23
32abc1,1cba23
32ac1b,b1ca23
32acb1,1bca23
321abc,cba123
321acb,bca123
321bac,cab123
321bca,acb123
321cab,bac123
321cba,abc123
32ba1c,c1ab23
32bac1,1cab23
32b1ac,ca1b23
32b1ca,ac1b23
32bca1,1acb23
32bc1a,a1cb23
32ca1b,b1ac23
32cab1,1bac23
32c1ab,ba1c23
32c1ba,ab1c23
32cba1,1abc23
32cb1a,a1bc23
3ca1b2,2b1ac3
3ca12b,b21ac3
3cab12,21bac3
3cab21,12bac3
3ca21b,b12ac3
3ca2b1,1b2ac3
3c1ab2,2ba1c3
3c1a2b,b2a1c3
3c1ba2,2ab1c3
3c1b2a,a2b1c3
3c12ab,ba21c3
3c12ba,ab21c3
3cba12,21abc3
3cba21,12abc3
3cb1a2,2a1bc3
3cb12a,a21bc3
3cb2a1,1a2bc3
3cb21a,a12bc3
3c2a1b,b1a2c3
3c2ab1,1ba2c3
3c21ab,ba12c3
3c21ba,ab12c3
3c2ba1,1ab2c3
3c2b1a,a1b2c3
