a,aaafedcb
hedfa,afdehaab
hedfb,bfdehbbb
hedfc,cfdehccb
hedfg,gfdehggb
hedga,agdehaab
hedgb,bgdehbbb
hedgc,cgdehccb
hedgf,fgdehffb
hefab,bafehbbb
hefac,cafehccb
hefad,dafehddb
hefag,gafehggb
hefba,abfehaab
hefbc,cbfehccb
hefbd,dbfehddb
hefbg,gbfehggb
hefca,acfehaab
hefcb,bcfehbbb
hefcd,dcfehddb
hefcg,gcfehggb
hefda,adfehaab
hefdb,bdfehbbb
hefdc,cdfehccb
hefdg,gdfehggb
hefga,agfehaab
hefgb,bgfehbbb
hefgc,cgfehccb
hefgd,dgfehddb
hegab,bagehbbb
hegac,cagehccb
hegad,dagehddb
hegaf,fagehffb
hegba,abgehaab
hegbc,cbgehccb
hegbd,dbgehddb
hegbf,fbgehffb
hegca,acgehaab
hegcb,bcgehbbb
hegcd,dcgehddb
hegcf,fcgehffb
hegda,adgehaab
hegdb,bdgehbbb
hegdc,cdgehccb
hegdf,fdgehffb
hegfa,afgehaab
hegfb,bfgehbbb
hegfc,cfgehccb
hegfd,dfgehddb
hfabc,cbafhccb
hfabd,dbafhddb
hfabe,ebafheeb
hfabg,gbafhggb
hfacb,bcafhbbb
hfacd,dcafhddb
hface,ecafheeb
hfacg,gcafhggb
hfadb,bdafhbbb
hfadc,cdafhccb
hfade,edafheeb
hfadg,gdafhggb
hfaeb,beafhbbb
hfaec,ceafhccb
hfaed,deafhddb
hfaeg,geafhggb
hfagb,bgafhbbb
hfagc,cgafhccb
hfagd,dgafhddb
hfage,egafheeb
hfbac,cabfhccb
hfbad,dabfhddb
hfbae,eabfheeb
hfbag,gabfhggb
hfbca,acbfhaab
hfbcd,dcbfhddb
hfbce,ecbfheeb
hfbcg,gcbfhggb
hfbda,adbfhaab
hfbdc,cdbfhccb
hfbde,edbfheeb
hfbdg,gdbfhggb
hfbea,aebfhaab
hfbec,cebfhccb
hfbed,debfhddb
hfbeg,gebfhggb
hfbga,agbfhaab
hfbgc,cgbfhccb
hfbgd,dgbfhddb
hfbge,egbfheeb
hfcab,bacfhbbb
hfcad,dacfhddb
hfcae,eacfheeb
hfcag,gacfhggb
hfcba,abcfhaab
hfcbd,dbcfhddb
hfcbe,ebcfheeb
hfcbg,gbcfhggb
hfcda,adcfhaab
hfcdb,bdcfhbbb
hfcde,edcfheeb
hfcdg,gdcfhggb
hfcea,aecfhaab
hfceb,becfhbbb
hfced,decfhddb
hfceg,gecfhggb
hfcga,agcfhaab
hfcgb,bgcfhbbb
hfcgd,dgcfhddb
hfcge,egcfheeb
hfdab,badfhbbb
hfdac,cadfhccb
hfdae,eadfheeb
hfdag,gadfhggb
hfdba,abdfhaab
hfdbc,cbdfhccb
hfdbe,ebdfheeb
hfdbg,gbdfhggb
hfdca,acdfhaab
hfdcb,bcdfhbbb
hfdce,ecdfheeb
hfdcg,gcdfhggb
hfdea,aedfhaab
hfdeb,bedfhbbb
hfdec,cedfhccb
hfdeg,gedfhggb
hfdga,agdfhaab
hfdgb,bgdfhbbb
hfdgc,cgdfhccb
hfdge,egdfheeb
hfeab,baefhbbb
hfeac,caefhccb
hfead,daefhddb
hfeag,gaefhggb
hfeba,abefhaab
hfebc,cbefhccb
hfebd,dbefhddb
hfebg,gbefhggb
hfeca,acefhaab
hfecb,bcefhbbb
hfecd,dcefhddb
hfecg,gcefhggb
hfeda,adefhaab
hfedb,bdefhbbb
hfedc,cdefhccb
hfedg,gdefhggb
hfega,agefhaab
hfegb,bgefhbbb
hfegc,cgefhccb
hfegd,dgefhddb
hfgab,bagfhbbb
hfgac,cagfhccb
hfgad,dagfhddb
hfgae,eagfheeb
hfgba,abgfhaab
hfgbc,cbgfhccb
hfgbd,dbgfhddb
hfgbe,ebgfheeb
hfgca,acgfhaab
hfgcb,bcgfhbbb
hfgcd,dcgfhddb
hfgce,ecgfheeb
hfgda,adgfhaab
hfgdb,bdgfhbbb
hfgdc,cdgfhccb
hfgde,edgfheeb
hfgea,aegfhaab
hfgeb,begfhbbb
hfgec,cegfhccb
hfged,degfhddb
hgabc,cbaghccb
hgabd,dbaghddb
hgabe,ebagheeb
hgabf,fbaghffb
hgacb,bcaghbbb
hgacd,dcaghddb
hgace,ecagheeb
hgacf,fcaghffb
hgadb,bdaghbbb
hgadc,cdaghccb
hgade,edagheeb
hgadf,fdaghffb
hgaeb,beaghbbb
hgaec,ceaghccb
hgaed,deaghddb
hgaef,feaghffb
hgafb,bfaghbbb
hgafc,cfaghccb
hgafd,dfaghddb
hgafe,efagheeb
hgbac,cabghccb
hgbad,dabghddb
hgbae,eabgheeb
hgbaf,fabghffb
hgbca,acbghaab
hgbcd,dcbghddb
hgbce,ecbgheeb
hgbcf,fcbghffb
hgbda,adbghaab
hgbdc,cdbghccb
hgbde,edbgheeb
hgbdf,fdbghffb
hgbea,aebghaab
hgbec,cebghccb
hgbed,debghddb
hgbef,febghffb
hgbfa,afbghaab
hgbfc,cfbghccb
hgbfd,dfbghddb
hgbfe,efbgheeb
hgcab,bacghbbb
hgcad,dacghddb
hgcae,eacgheeb
hgcaf,facghffb
hgcba,abcghaab
hgcbd,dbcghddb
hgcbe,ebcgheeb
hgcbf,fbcghffb
hgcda,adcghaab
hgcdb,bdcghbbb
hgcde,edcgheeb
hgcdf,fdcghffb
hgcea,aecghaab
hgceb,becghbbb
hgced,decghddb
hgcef,fecghffb
hgcfa,afcghaab
hgcfb,bfcghbbb
hgcfd,dfcghddb
hgcfe,efcgheeb
hgdab,badghbbb
hgdac,cadghccb
hgdae,eadgheeb
hgdaf,fadghffb
hgdba,abdghaab
hgdbc,cbdghccb
hgdbe,ebdgheeb
hgdbf,fbdghffb
hgdca,acdghaab
hgdcb,bcdghbbb
hgdce,ecdgheeb
hgdcf,fcdghffb
hgdea,aedghaab
hgdeb,bedghbbb
hgdec,cedghccb
hgdef,fedghffb
hgdfa,afdghaab
hgdfb,bfdghbbb
hgdfc,cfdghccb
hgdfe,efdgheeb
hgeab,baeghbbb
hgeac,caeghccb
hgead,daeghddb
hgeaf,faeghffb
hgeba,abeghaab
hgebc,cbeghccb
hgebd,dbeghddb
hgebf,fbeghffb
hgeca,aceghaab
hgecb,bceghbbb
hgecd,dceghddb
hgecf,fceghffb
hgeda,adeghaab
hgedb,bdeghbbb
hgedc,cdeghccb
hgedf,fdeghffb
hgefa,afeghaab
hgefb,bfeghbbb
hgefc,cfeghccb
hgefd,dfeghddb
hgfab,bafghbbb
hgfac,cafghccb
hgfad,dafghddb
hgfae,eafgheeb
hgfba,abfghaab
hgfbc,cbfghccb
hgfbd,dbfghddb
hgfbe,ebfgheeb
hgfca,acfghaab
hgfcb,bcfghbbb
hgfcd,dcfghddb
hgfce,ecfgheeb
hgfda,adfghaab
hgfdb,bdfghbbb
hgfdc,cdfghccb
hgfde,edfgheeb
hgfea,aefghaab
hgfeb,befghbbb
hgfec,cefghccb
hgfed,defghddb
abcdef,fedcbaff
abcdeg,gedcbagg
abcdeh,hedcbahh
abcdfe,efdcbaee
abcdfg,gfdcbagg
abcdfh,hfdcbahh
abcdge,egdcbaee
abcdgf,fgdcbaff
abcdgh,hgdcbahh
abcdhe,ehdcbaee
abcdhf,fhdcbaff
abcdhg,ghdcbagg
abcedf,fdecbaff
abcedg,gdecbagg
abcedh,hdecbahh
abcefd,dfecbadd
abcefg,gfecbagg
abcefh,hfecbahh
abcegd,dgecbadd
abcegf,fgecbaff
abcegh,hgecbahh
abcehd,dhecbadd
abcehf,fhecbaff
abcehg,ghecbagg
abcfde,edfcbaee
abcfdg,gdfcbagg
abcfdh,hdfcbahh
abcfed,defcbadd
abcfeg,gefcbagg
abcfeh,hefcbahh
abcfgd,dgfcbadd
abcfge,egfcbaee
abcfgh,hgfcbahh
abcfhd,dhfcbadd
abcfhe,ehfcbaee
abcfhg,ghfcbagg
abcgde,edgcbaee
abcgdf,fdgcbaff
abcgdh,hdgcbahh
abcged,degcbadd
abcgef,fegcbaff
abcgeh,hegcbahh
abcgfd,dfgcbadd
abcgfe,efgcbaee
abcgfh,hfgcbahh
abcghd,dhgcbadd
abcghe,ehgcbaee
abcghf,fhgcbaff
abchde,edhcbaee
abchdf,fdhcbaff
abchdg,gdhcbagg
abched,dehcbadd
abchef,fehcbaff
abcheg,gehcbagg
abchfd,dfhcbadd
abchfe,efhcbaee
abchfg,gfhcbagg
abchgd,dghcbadd
abchge,eghcbaee
abchgf,fghcbaff
abdcef,fecdbaff
abdceg,gecdbagg
abdceh,hecdbahh
abdcfe,efcdbaee
abdcfg,gfcdbagg
abdcfh,hfcdbahh
abdcge,egcdbaee
abdcgf,fgcdbaff
abdcgh,hgcdbahh
abdche,ehcdbaee
abdchf,fhcdbaff
abdchg,ghcdbagg
abdecf,fcedbaff
abdecg,gcedbagg
abdech,hcedbahh
abdefc,cfedbacc
abdefg,gfedbagg
abdefh,hfedbahh
abdegc,cgedbacc
abdegf,fgedbaff
abdegh,hgedbahh
abdehc,chedbacc
abdehf,fhedbaff
abdehg,ghedbagg
abdfce,ecfdbaee
abdfcg,gcfdbagg
abdfch,hcfdbahh
abdfec,cefdbacc
abdfeg,gefdbagg
abdfeh,hefdbahh
abdfgc,cgfdbacc
abdfge,egfdbaee
abdfgh,hgfdbahh
abdfhc,chfdbacc
abdfhe,ehfdbaee
abdfhg,ghfdbagg
abdgce,ecgdbaee
abdgcf,fcgdbaff
abdgch,hcgdbahh
abdgec,cegdbacc
abdgef,fegdbaff
abdgeh,hegdbahh
abdgfc,cfgdbacc
abdgfe,efgdbaee
abdgfh,hfgdbahh
abdghc,chgdbacc
abdghe,ehgdbaee
abdghf,fhgdbaff
abdhce,echdbaee
abdhcf,fchdbaff
abdhcg,gchdbagg
abdhec,cehdbacc
abdhef,fehdbaff
abdheg,gehdbagg
abdhfc,cfhdbacc
abdhfe,efhdbaee
abdhfg,gfhdbagg
abdhgc,cghdbacc
abdhge,eghdbaee
abdhgf,fghdbaff
abecdf,fdcebaff
abecdg,gdcebagg
abecdh,hdcebahh
abecfd,dfcebadd
abecfg,gfcebagg
abecfh,hfcebahh
abecgd,dgcebadd
abecgf,fgcebaff
abecgh,hgcebahh
abechd,dhcebadd
abechf,fhcebaff
abechg,ghcebagg
abedcf,fcdebaff
abedcg,gcdebagg
abedch,hcdebahh
abedfc,cfdebacc
abedfg,gfdebagg
abedfh,hfdebahh
abedgc,cgdebacc
abedgf,fgdebaff
abedgh,hgdebahh
abedhc,chdebacc
abedhf,fhdebaff
abedhg,ghdebagg
abefcd,dcfebadd
abefcg,gcfebagg
abefch,hcfebahh
abefdc,cdfebacc
abefdg,gdfebagg
abefdh,hdfebahh
abefgc,cgfebacc
abefgd,dgfebadd
abefgh,hgfebahh
abefhc,chfebacc
abefhd,dhfebadd
abefhg,ghfebagg
abegcd,dcgebadd
abegcf,fcgebaff
abegch,hcgebahh
abegdc,cdgebacc
abegdf,fdgebaff
abegdh,hdgebahh
abegfc,cfgebacc
abegfd,dfgebadd
abegfh,hfgebahh
abeghc,chgebacc
abeghd,dhgebadd
abeghf,fhgebaff
abehcd,dchebadd
abehcf,fchebaff
abehcg,gchebagg
abehdc,cdhebacc
abehdf,fdhebaff
abehdg,gdhebagg
abehfc,cfhebacc
abehfd,dfhebadd
abehfg,gfhebagg
abehgc,cghebacc
abehgd,dghebadd
abehgf,fghebaff
abfcde,edcfbaee
abfcdg,gdcfbagg
abfcdh,hdcfbahh
abfced,decfbadd
abfceg,gecfbagg
abfceh,hecfbahh
abfcgd,dgcfbadd
abfcge,egcfbaee
abfcgh,hgcfbahh
abfchd,dhcfbadd
abfche,ehcfbaee
abfchg,ghcfbagg
abfdce,ecdfbaee
abfdcg,gcdfbagg
abfdch,hcdfbahh
abfdec,cedfbacc
abfdeg,gedfbagg
abfdeh,hedfbahh
abfdgc,cgdfbacc
abfdge,egdfbaee
abfdgh,hgdfbahh
abfdhc,chdfbacc
abfdhe,ehdfbaee
abfdhg,ghdfbagg
abfecd,dcefbadd
abfecg,gcefbagg
abfech,hcefbahh
abfedc,cdefbacc
abfedg,gdefbagg
abfedh,hdefbahh
abfegc,cgefbacc
abfegd,dgefbadd
abfegh,hgefbahh
abfehc,chefbacc
abfehd,dhefbadd
abfehg,ghefbagg
abfgcd,dcgfbadd
abfgce,ecgfbaee
abfgch,hcgfbahh
abfgdc,cdgfbacc
abfgde,edgfbaee
abfgdh,hdgfbahh
abfgec,cegfbacc
abfged,degfbadd
abfgeh,hegfbahh
abfghc,chgfbacc
abfghd,dhgfbadd
abfghe,ehgfbaee
abfhcd,dchfbadd
abfhce,echfbaee
abfhcg,gchfbagg
abfhdc,cdhfbacc
abfhde,edhfbaee
abfhdg,gdhfbagg
abfhec,cehfbacc
abfhed,dehfbadd
abfheg,gehfbagg
abfhgc,cghfbacc
abfhgd,dghfbadd
abfhge,eghfbaee
abgcde,edcgbaee
abgcdf,fdcgbaff
abgcdh,hdcgbahh
abgced,decgbadd
abgcef,fecgbaff
abgceh,hecgbahh
abgcfd,dfcgbadd
abgcfe,efcgbaee
abgcfh,hfcgbahh
abgchd,dhcgbadd
abgche,ehcgbaee
abgchf,fhcgbaff
abgdce,ecdgbaee
abgdcf,fcdgbaff
abgdch,hcdgbahh
abgdec,cedgbacc
abgdef,fedgbaff
abgdeh,hedgbahh
abgdfc,cfdgbacc
abgdfe,efdgbaee
abgdfh,hfdgbahh
abgdhc,chdgbacc
abgdhe,ehdgbaee
abgdhf,fhdgbaff
abgecd,dcegbadd
abgecf,fcegbaff
abgech,hcegbahh
abgedc,cdegbacc
abgedf,fdegbaff
abgedh,hdegbahh
abgefc,cfegbacc
abgefd,dfegbadd
abgefh,hfegbahh
abgehc,chegbacc
abgehd,dhegbadd
abgehf,fhegbaff
abgfcd,dcfgbadd
abgfce,ecfgbaee
abgfch,hcfgbahh
abgfdc,cdfgbacc
abgfde,edfgbaee
abgfdh,hdfgbahh
abgfec,cefgbacc
abgfed,defgbadd
abgfeh,hefgbahh
abgfhc,chfgbacc
abgfhd,dhfgbadd
abgfhe,ehfgbaee
abghcd,dchgbadd
abghce,echgbaee
abghcf,fchgbaff
abghdc,cdhgbacc
abghde,edhgbaee
abghdf,fdhgbaff
abghec,cehgbacc
abghed,dehgbadd
abghef,fehgbaff
abghfc,cfhgbacc
abghfd,dfhgbadd
abghfe,efhgbaee
abhcde,edchbaee
abhcdf,fdchbaff
abhcdg,gdchbagg
abhced,dechbadd
abhcef,fechbaff
abhceg,gechbagg
abhcfd,dfchbadd
abhcfe,efchbaee
abhcfg,gfchbagg
abhcgd,dgchbadd
abhcge,egchbaee
abhcgf,fgchbaff
abhdce,ecdhbaee
abhdcf,fcdhbaff
abhdcg,gcdhbagg
abhdec,cedhbacc
abhdef,fedhbaff
abhdeg,gedhbagg
abhdfc,cfdhbacc
abhdfe,efdhbaee
abhdfg,gfdhbagg
abhdgc,cgdhbacc
abhdge,egdhbaee
abhdgf,fgdhbaff
abhecd,dcehbadd
abhecf,fcehbaff
abhecg,gcehbagg
abhedc,cdehbacc
abhedf,fdehbaff
abhedg,gdehbagg
abhefc,cfehbacc
abhefd,dfehbadd
abhefg,gfehbagg
abhegc,cgehbacc
abhegd,dgehbadd
abhegf,fgehbaff
abhfcd,dcfhbadd
abhfce,ecfhbaee
abhfcg,gcfhbagg
abhfdc,cdfhbacc
abhfde,edfhbaee
abhfdg,gdfhbagg
abhfec,cefhbacc
abhfed,defhbadd
abhfeg,gefhbagg
abhfgc,cgfhbacc
abhfgd,dgfhbadd
abhfge,egfhbaee
abhgcd,dcghbadd
abhgce,ecghbaee
abhgcf,fcghbaff
abhgdc,cdghbacc
abhgde,edghbaee
abhgdf,fdghbaff
abhgec,ceghbacc
abhged,deghbadd
abhgef,feghbaff
abhgfc,cfghbacc
abhgfd,dfghbadd
abhgfe,efghbaee
acbdef,fedbcaff
acbdeg,gedbcagg
acbdeh,hedbcahh
acbdfe,efdbcaee
acbdfg,gfdbcagg
acbdfh,hfdbcahh
acbdge,egdbcaee
acbdgf,fgdbcaff
acbdgh,hgdbcahh
acbdhe,ehdbcaee
acbdhf,fhdbcaff
acbdhg,ghdbcagg
acbedf,fdebcaff
acbedg,gdebcagg
acbedh,hdebcahh
acbefd,dfebcadd
acbefg,gfebcagg
acbefh,hfebcahh
acbegd,dgebcadd
acbegf,fgebcaff
acbegh,hgebcahh
acbehd,dhebcadd
acbehf,fhebcaff
acbehg,ghebcagg
acbfde,edfbcaee
acbfdg,gdfbcagg
acbfdh,hdfbcahh
acbfed,defbcadd
acbfeg,gefbcagg
acbfeh,hefbcahh
acbfgd,dgfbcadd
acbfge,egfbcaee
acbfgh,hgfbcahh
acbfhd,dhfbcadd
acbfhe,ehfbcaee
acbfhg,ghfbcagg
acbgde,edgbcaee
acbgdf,fdgbcaff
acbgdh,hdgbcahh
acbged,degbcadd
acbgef,fegbcaff
acbgeh,hegbcahh
acbgfd,dfgbcadd
acbgfe,efgbcaee
acbgfh,hfgbcahh
acbghd,dhgbcadd
acbghe,ehgbcaee
acbghf,fhgbcaff
acbhde,edhbcaee
acbhdf,fdhbcaff
acbhdg,gdhbcagg
acbhed,dehbcadd
acbhef,fehbcaff
acbheg,gehbcagg
acbhfd,dfhbcadd
acbhfe,efhbcaee
acbhfg,gfhbcagg
acbhgd,dghbcadd
acbhge,eghbcaee
acbhgf,fghbcaff
acdbef,febdcaff
acdbeg,gebdcagg
acdbeh,hebdcahh
acdbfe,efbdcaee
acdbfg,gfbdcagg
acdbfh,hfbdcahh
acdbge,egbdcaee
acdbgf,fgbdcaff
acdbgh,hgbdcahh
acdbhe,ehbdcaee
acdbhf,fhbdcaff
acdbhg,ghbdcagg
acdebf,fbedcaff
acdebg,gbedcagg
acdebh,hbedcahh
acdefb,bfedcabb
acdefg,gfedcagg
acdefh,hfedcahh
acdegb,bgedcabb
acdegf,fgedcaff
acdegh,hgedcahh
acdehb,bhedcabb
acdehf,fhedcaff
acdehg,ghedcagg
acdfbe,ebfdcaee
acdfbg,gbfdcagg
acdfbh,hbfdcahh
acdfeb,befdcabb
acdfeg,gefdcagg
acdfeh,hefdcahh
acdfgb,bgfdcabb
acdfge,egfdcaee
acdfgh,hgfdcahh
acdfhb,bhfdcabb
acdfhe,ehfdcaee
acdfhg,ghfdcagg
acdgbe,ebgdcaee
acdgbf,fbgdcaff
acdgbh,hbgdcahh
acdgeb,begdcabb
acdgef,fegdcaff
acdgeh,hegdcahh
acdgfb,bfgdcabb
acdgfe,efgdcaee
acdgfh,hfgdcahh
acdghb,bhgdcabb
acdghe,ehgdcaee
acdghf,fhgdcaff
acdhbe,ebhdcaee
acdhbf,fbhdcaff
acdhbg,gbhdcagg
acdheb,behdcabb
acdhef,fehdcaff
acdheg,gehdcagg
acdhfb,bfhdcabb
acdhfe,efhdcaee
acdhfg,gfhdcagg
acdhgb,bghdcabb
acdhge,eghdcaee
acdhgf,fghdcaff
acebdf,fdbecaff
acebdg,gdbecagg
acebdh,hdbecahh
acebfd,dfbecadd
acebfg,gfbecagg
acebfh,hfbecahh
acebgd,dgbecadd
acebgf,fgbecaff
acebgh,hgbecahh
acebhd,dhbecadd
acebhf,fhbecaff
acebhg,ghbecagg
acedbf,fbdecaff
acedbg,gbdecagg
acedbh,hbdecahh
acedfb,bfdecabb
acedfg,gfdecagg
acedfh,hfdecahh
acedgb,bgdecabb
acedgf,fgdecaff
acedgh,hgdecahh
acedhb,bhdecabb
acedhf,fhdecaff
acedhg,ghdecagg
acefbd,dbfecadd
acefbg,gbfecagg
acefbh,hbfecahh
acefdb,bdfecabb
acefdg,gdfecagg
acefdh,hdfecahh
acefgb,bgfecabb
acefgd,dgfecadd
acefgh,hgfecahh
acefhb,bhfecabb
acefhd,dhfecadd
acefhg,ghfecagg
acegbd,dbgecadd
acegbf,fbgecaff
acegbh,hbgecahh
acegdb,bdgecabb
acegdf,fdgecaff
acegdh,hdgecahh
acegfb,bfgecabb
acegfd,dfgecadd
acegfh,hfgecahh
aceghb,bhgecabb
aceghd,dhgecadd
aceghf,fhgecaff
acehbd,dbhecadd
acehbf,fbhecaff
acehbg,gbhecagg
acehdb,bdhecabb
acehdf,fdhecaff
acehdg,gdhecagg
acehfb,bfhecabb
acehfd,dfhecadd
acehfg,gfhecagg
acehgb,bghecabb
acehgd,dghecadd
acehgf,fghecaff
acfbde,edbfcaee
acfbdg,gdbfcagg
acfbdh,hdbfcahh
acfbed,debfcadd
acfbeg,gebfcagg
acfbeh,hebfcahh
acfbgd,dgbfcadd
acfbge,egbfcaee
acfbgh,hgbfcahh
acfbhd,dhbfcadd
acfbhe,ehbfcaee
acfbhg,ghbfcagg
acfdbe,ebdfcaee
acfdbg,gbdfcagg
acfdbh,hbdfcahh
acfdeb,bedfcabb
acfdeg,gedfcagg
acfdeh,hedfcahh
acfdgb,bgdfcabb
acfdge,egdfcaee
acfdgh,hgdfcahh
acfdhb,bhdfcabb
acfdhe,ehdfcaee
acfdhg,ghdfcagg
acfebd,dbefcadd
acfebg,gbefcagg
acfebh,hbefcahh
acfedb,bdefcabb
acfedg,gdefcagg
acfedh,hdefcahh
acfegb,bgefcabb
acfegd,dgefcadd
acfegh,hgefcahh
acfehb,bhefcabb
acfehd,dhefcadd
acfehg,ghefcagg
acfgbd,dbgfcadd
acfgbe,ebgfcaee
acfgbh,hbgfcahh
acfgdb,bdgfcabb
acfgde,edgfcaee
acfgdh,hdgfcahh
acfgeb,begfcabb
acfged,degfcadd
acfgeh,hegfcahh
acfghb,bhgfcabb
acfghd,dhgfcadd
acfghe,ehgfcaee
acfhbd,dbhfcadd
acfhbe,ebhfcaee
acfhbg,gbhfcagg
acfhdb,bdhfcabb
acfhde,edhfcaee
acfhdg,gdhfcagg
acfheb,behfcabb
acfhed,dehfcadd
acfheg,gehfcagg
acfhgb,bghfcabb
acfhgd,dghfcadd
acfhge,eghfcaee
acgbde,edbgcaee
acgbdf,fdbgcaff
acgbdh,hdbgcahh
acgbed,debgcadd
acgbef,febgcaff
acgbeh,hebgcahh
acgbfd,dfbgcadd
acgbfe,efbgcaee
acgbfh,hfbgcahh
acgbhd,dhbgcadd
acgbhe,ehbgcaee
acgbhf,fhbgcaff
acgdbe,ebdgcaee
acgdbf,fbdgcaff
acgdbh,hbdgcahh
acgdeb,bedgcabb
acgdef,fedgcaff
acgdeh,hedgcahh
acgdfb,bfdgcabb
acgdfe,efdgcaee
acgdfh,hfdgcahh
acgdhb,bhdgcabb
acgdhe,ehdgcaee
acgdhf,fhdgcaff
acgebd,dbegcadd
acgebf,fbegcaff
acgebh,hbegcahh
acgedb,bdegcabb
acgedf,fdegcaff
acgedh,hdegcahh
acgefb,bfegcabb
acgefd,dfegcadd
acgefh,hfegcahh
acgehb,bhegcabb
acgehd,dhegcadd
acgehf,fhegcaff
acgfbd,dbfgcadd
acgfbe,ebfgcaee
acgfbh,hbfgcahh
acgfdb,bdfgcabb
acgfde,edfgcaee
acgfdh,hdfgcahh
acgfeb,befgcabb
acgfed,defgcadd
acgfeh,hefgcahh
acgfhb,bhfgcabb
acgfhd,dhfgcadd
acgfhe,ehfgcaee
acghbd,dbhgcadd
acghbe,ebhgcaee
acghbf,fbhgcaff
acghdb,bdhgcabb
acghde,edhgcaee
acghdf,fdhgcaff
acgheb,behgcabb
acghed,dehgcadd
acghef,fehgcaff
acghfb,bfhgcabb
acghfd,dfhgcadd
acghfe,efhgcaee
achbde,edbhcaee
achbdf,fdbhcaff
achbdg,gdbhcagg
achbed,debhcadd
achbef,febhcaff
achbeg,gebhcagg
achbfd,dfbhcadd
achbfe,efbhcaee
achbfg,gfbhcagg
achbgd,dgbhcadd
achbge,egbhcaee
achbgf,fgbhcaff
achdbe,ebdhcaee
achdbf,fbdhcaff
achdbg,gbdhcagg
achdeb,bedhcabb
achdef,fedhcaff
achdeg,gedhcagg
achdfb,bfdhcabb
achdfe,efdhcaee
achdfg,gfdhcagg
achdgb,bgdhcabb
achdge,egdhcaee
achdgf,fgdhcaff
achebd,dbehcadd
achebf,fbehcaff
achebg,gbehcagg
achedb,bdehcabb
achedf,fdehcaff
achedg,gdehcagg
achefb,bfehcabb
achefd,dfehcadd
achefg,gfehcagg
achegb,bgehcabb
achegd,dgehcadd
achegf,fgehcaff
achfbd,dbfhcadd
achfbe,ebfhcaee
achfbg,gbfhcagg
achfdb,bdfhcabb
achfde,edfhcaee
achfdg,gdfhcagg
achfeb,befhcabb
achfed,defhcadd
achfeg,gefhcagg
achfgb,bgfhcabb
achfgd,dgfhcadd
achfge,egfhcaee
achgbd,dbghcadd
achgbe,ebghcaee
achgbf,fbghcaff
achgdb,bdghcabb
achgde,edghcaee
achgdf,fdghcaff
achgeb,beghcabb
achged,deghcadd
achgef,feghcaff
achgfb,bfghcabb
achgfd,dfghcadd
achgfe,efghcaee
adbcef,fecbdaff
adbceg,gecbdagg
adbceh,hecbdahh
adbcfe,efcbdaee
adbcfg,gfcbdagg
adbcfh,hfcbdahh
adbcge,egcbdaee
adbcgf,fgcbdaff
adbcgh,hgcbdahh
adbche,ehcbdaee
adbchf,fhcbdaff
adbchg,ghcbdagg
adbecf,fcebdaff
adbecg,gcebdagg
adbech,hcebdahh
adbefc,cfebdacc
adbefg,gfebdagg
adbefh,hfebdahh
adbegc,cgebdacc
adbegf,fgebdaff
adbegh,hgebdahh
adbehc,chebdacc
adbehf,fhebdaff
adbehg,ghebdagg
adbfce,ecfbdaee
adbfcg,gcfbdagg
adbfch,hcfbdahh
adbfec,cefbdacc
adbfeg,gefbdagg
adbfeh,hefbdahh
adbfgc,cgfbdacc
adbfge,egfbdaee
adbfgh,hgfbdahh
adbfhc,chfbdacc
adbfhe,ehfbdaee
adbfhg,ghfbdagg
adbgce,ecgbdaee
adbgcf,fcgbdaff
adbgch,hcgbdahh
adbgec,cegbdacc
adbgef,fegbdaff
adbgeh,hegbdahh
adbgfc,cfgbdacc
adbgfe,efgbdaee
adbgfh,hfgbdahh
adbghc,chgbdacc
adbghe,ehgbdaee
adbghf,fhgbdaff
adbhce,echbdaee
adbhcf,fchbdaff
adbhcg,gchbdagg
adbhec,cehbdacc
adbhef,fehbdaff
adbheg,gehbdagg
adbhfc,cfhbdacc
adbhfe,efhbdaee
adbhfg,gfhbdagg
adbhgc,cghbdacc
adbhge,eghbdaee
adbhgf,fghbdaff
adcbef,febcdaff
adcbeg,gebcdagg
adcbeh,hebcdahh
adcbfe,efbcdaee
adcbfg,gfbcdagg
adcbfh,hfbcdahh
adcbge,egbcdaee
adcbgf,fgbcdaff
adcbgh,hgbcdahh
adcbhe,ehbcdaee
adcbhf,fhbcdaff
adcbhg,ghbcdagg
adcebf,fbecdaff
adcebg,gbecdagg
adcebh,hbecdahh
adcefb,bfecdabb
adcefg,gfecdagg
adcefh,hfecdahh
adcegb,bgecdabb
adcegf,fgecdaff
adcegh,hgecdahh
adcehb,bhecdabb
adcehf,fhecdaff
adcehg,ghecdagg
adcfbe,ebfcdaee
adcfbg,gbfcdagg
adcfbh,hbfcdahh
adcfeb,befcdabb
adcfeg,gefcdagg
adcfeh,hefcdahh
adcfgb,bgfcdabb
adcfge,egfcdaee
adcfgh,hgfcdahh
adcfhb,bhfcdabb
adcfhe,ehfcdaee
adcfhg,ghfcdagg
adcgbe,ebgcdaee
adcgbf,fbgcdaff
adcgbh,hbgcdahh
adcgeb,begcdabb
adcgef,fegcdaff
adcgeh,hegcdahh
adcgfb,bfgcdabb
adcgfe,efgcdaee
adcgfh,hfgcdahh
adcghb,bhgcdabb
adcghe,ehgcdaee
adcghf,fhgcdaff
adchbe,ebhcdaee
adchbf,fbhcdaff
adchbg,gbhcdagg
adcheb,behcdabb
adchef,fehcdaff
adcheg,gehcdagg
adchfb,bfhcdabb
