a,aaadcb
bdcafe,efacdb
bdceaf,faecdb
bdcefa,afecdb
bdcfae,eafcdb
bdcfea,aefcdb
bdeacf,fcaedb
bdeafc,cfaedb
bdecaf,facedb
bdecfa,afcedb
bdefac,cafedb
bdefca,acfedb
bdface,ecafdb
bdfaec,ceafdb
bdfcae,eacfdb
bdfcea,aecfdb
bdfeac,caefdb
bdfeca,acefdb
beacdf,fdcaeb
beacfd,dfcaeb
beadcf,fcdaeb
beadfc,cfdaeb
beafcd,dcfaeb
beafdc,cdfaeb
becadf,fdaceb
becafd,dfaceb
becdaf,fadceb
becdfa,afdceb
becfad,dafceb
becfda,adfceb
bedacf,fcadeb
bedafc,cfadeb
bedcaf,facdeb
bedcfa,afcdeb
bedfac,cafdeb
bedfca,acfdeb
befacd,dcafeb
befadc,cdafeb
befcad,dacfeb
befcda,adcfeb
befdac,cadfeb
befdca,acdfeb
bfacde,edcafb
bfaced,decafb
bfadce,ecdafb
bfadec,cedafb
bfaecd,dceafb
bfaedc,cdeafb
bfcade,edacfb
bfcaed,deacfb
bfcdae,eadcfb
bfcdea,aedcfb
bfcead,daecfb
bfceda,adecfb
bfdace,ecadfb
bfdaec,ceadfb
bfdcae,eacdfb
bfdcea,aecdfb
bfdeac,caedfb
bfdeca,acedfb
bfeacd,dcaefb
bfeadc,cdaefb
bfecad,dacefb
bfecda,adcefb
bfedac,cadefb
bfedca,acdefb
cabdef,fedbac
cabdfe,efdbac
cabedf,fdebac
cabefd,dfebac
cabfde,edfbac
cabfed,defbac
cadbef,febdac
cadbfe,efbdac
cadebf,fbedac
cadefb,bfedac
cadfbe,ebfdac
cadfeb,befdac
caebdf,fdbeac
caebfd,dfbeac
caedbf,fbdeac
caedfb,bfdeac
caefbd,dbfeac
caefdb,bdfeac
cafbde,edbfac
cafbed,debfac
cafdbe,ebdfac
cafdeb,bedfac
cafebd,dbefac
cafedb,bdefac
cbadef,fedabc
cbadfe,efdabc
cbaedf,fdeabc
cbaefd,dfeabc
cbafde,edfabc
cbafed,defabc
cbdaef,feadbc
cbdafe,efadbc
cbdeaf,faedbc
cbdefa,afedbc
cbdfae,eafdbc
cbdfea,aefdbc
cbeadf,fdaebc
cbeafd,dfaebc
cbedaf,fadebc
cbedfa,afdebc
cbefad,dafebc
cbefda,adfebc
cbfade,edafbc
cbfaed,deafbc
cbfdae,eadfbc
cbfdea,aedfbc
cbfead,daefbc
cbfeda,adefbc
cdabef,febadc
cdabfe,efbadc
cdaebf,fbeadc
cdaefb,bfeadc
cdafbe,ebfadc
cdafeb,befadc
cdbaef,feabdc
cdbafe,efabdc
cdbeaf,faebdc
cdbefa,afebdc
cdbfae,eafbdc
cdbfea,aefbdc
cdeabf,fbaedc
cdeafb,bfaedc
cdebaf,fabedc
cdebfa,afbedc
cdefab,bafedc
cdefba,abfedc
cdfabe,ebafdc
cdfaeb,beafdc
cdfbae,eabfdc
cdfbea,aebfdc
cdfeab,baefdc
cdfeba,abefdc
ceabdf,fdbaec
ceabfd,dfbaec
ceadbf,fbdaec
ceadfb,bfdaec
ceafbd,dbfaec
ceafdb,bdfaec
cebadf,fdabec
cebafd,dfabec
cebdaf,fadbec
cebdfa,afdbec
cebfad,dafbec
cebfda,adfbec
cedabf,fbadec
cedafb,bfadec
cedbaf,fabdec
cedbfa,afbdec
cedfab,bafdec
cedfba,abfdec
cefabd,dbafec
cefadb,bdafec
cefbad,dabfec
cefbda,adbfec
cefdab,badfec
cefdba,abdfec
cfabde,edbafc
cfabed,debafc
cfadbe,ebdafc
cfadeb,bedafc
cfaebd,dbeafc
cfaedb,bdeafc
cfbade,edabfc
cfbaed,deabfc
cfbdae,eadbfc
cfbdea,aedbfc
cfbead,daebfc
cfbeda,adebfc
cfdabe,ebadfc
cfdaeb,beadfc
cfdbae,eabdfc
cfdbea,aebdfc
cfdeab,baedfc
cfdeba,abedfc
cfeabd,dbaefc
cfeadb,bdaefc
cfebad,dabefc
cfebda,adbefc
cfedab,badefc
cfedba,abdefc
dabcef,fecbad
dabcfe,efcbad
dabecf,fcebad
dabefc,cfebad
dabfce,ecfbad
dabfec,cefbad
dacbef,febcad
dacbfe,efbcad
dacebf,fbecad
dacefb,bfecad
dacfbe,ebfcad
dacfeb,befcad
daebcf,fcbead
daebfc,cfbead
daecbf,fbcead
daecfb,bfcead
daefbc,cbfead
daefcb,bcfead
dafbce,ecbfad
dafbec,cebfad
dafcbe,ebcfad
dafceb,becfad
dafebc,cbefad
dafecb,bcefad
dbacef,fecabd
dbacfe,efcabd
dbaecf,fceabd
dbaefc,cfeabd
dbafce,ecfabd
dbafec,cefabd
dbcaef,feacbd
dbcafe,efacbd
dbceaf,faecbd
dbcefa,afecbd
dbcfae,eafcbd
dbcfea,aefcbd
dbeacf,fcaebd
dbeafc,cfaebd
dbecaf,facebd
dbecfa,afcebd
dbefac,cafebd
dbefca,acfebd
dbface,ecafbd
dbfaec,ceafbd
dbfcae,eacfbd
dbfcea,aecfbd
dbfeac,caefbd
dbfeca,acefbd
dcabef,febacd
dcabfe,efbacd
dcaebf,fbeacd
dcaefb,bfeacd
dcafbe,ebfacd
dcafeb,befacd
dcbaef,feabcd
dcbafe,efabcd
dcbeaf,faebcd
dcbefa,afebcd
dcbfae,eafbcd
dcbfea,aefbcd
dceabf,fbaecd
dceafb,bfaecd
dcebaf,fabecd
dcebfa,afbecd
dcefab,bafecd
dcefba,abfecd
dcfabe,ebafcd
dcfaeb,beafcd
dcfbae,eabfcd
dcfbea,aebfcd
dcfeab,baefcd
dcfeba,abefcd
deabcf,fcbaed
deabfc,cfbaed
deacbf,fbcaed
deacfb,bfcaed
deafbc,cbfaed
deafcb,bcfaed
debacf,fcabed
debafc,cfabed
debcaf,facbed
debcfa,afcbed
debfac,cafbed
debfca,acfbed
decabf,fbaced
decafb,bfaced
decbaf,fabced
decbfa,afbced
decfab,bafced
decfba,abfced
defabc,cbafed
defacb,bcafed
defbac,cabfed
defbca,acbfed
defcab,bacfed
defcba,abcfed
dfabce,ecbafd
dfabec,cebafd
dfacbe,ebcafd
dfaceb,becafd
dfaebc,cbeafd
dfaecb,bceafd
dfbace,ecabfd
dfbaec,ceabfd
dfbcae,eacbfd
dfbcea,aecbfd
dfbeac,caebfd
dfbeca,acebfd
dfcabe,ebacfd
dfcaeb,beacfd
dfcbae,eabcfd
dfcbea,aebcfd
dfceab,baecfd
dfceba,abecfd
dfeabc,cbaefd
dfeacb,bcaefd
dfebac,cabefd
dfebca,acbefd
dfecab,bacefd
dfecba,abcefd
eabcdf,fdcbae
eabcfd,dfcbae
eabdcf,fcdbae
eabdfc,cfdbae
eabfcd,dcfbae
eabfdc,cdfbae
eacbdf,fdbcae
eacbfd,dfbcae
eacdbf,fbdcae
eacdfb,bfdcae
eacfbd,dbfcae
eacfdb,bdfcae
eadbcf,fcbdae
eadbfc,cfbdae
eadcbf,fbcdae
eadcfb,bfcdae
eadfbc,cbfdae
eadfcb,bcfdae
eafbcd,dcbfae
eafbdc,cdbfae
eafcbd,dbcfae
eafcdb,bdcfae
eafdbc,cbdfae
eafdcb,bcdfae
ebacdf,fdcabe
ebacfd,dfcabe
ebadcf,fcdabe
ebadfc,cfdabe
ebafcd,dcfabe
ebafdc,cdfabe
ebcadf,fdacbe
ebcafd,dfacbe
ebcdaf,fadcbe
ebcdfa,afdcbe
ebcfad,dafcbe
ebcfda,adfcbe
ebdacf,fcadbe
ebdafc,cfadbe
ebdcaf,facdbe
ebdcfa,afcdbe
ebdfac,cafdbe
ebdfca,acfdbe
ebfacd,dcafbe
ebfadc,cdafbe
ebfcad,dacfbe
ebfcda,adcfbe
ebfdac,cadfbe
ebfdca,acdfbe
ecabdf,fdbace
ecabfd,dfbace
ecadbf,fbdace
ecadfb,bfdace
ecafbd,dbface
ecafdb,bdface
ecbadf,fdabce
ecbafd,dfabce
ecbdaf,fadbce
ecbdfa,afdbce
ecbfad,dafbce
ecbfda,adfbce
ecdabf,fbadce
ecdafb,bfadce
ecdbaf,fabdce
ecdbfa,afbdce
ecdfab,bafdce
ecdfba,abfdce
ecfabd,dbafce
ecfadb,bdafce
ecfbad,dabfce
ecfbda,adbfce
ecfdab,badfce
ecfdba,abdfce
edabcf,fcbade
edabfc,cfbade
edacbf,fbcade
edacfb,bfcade
edafbc,cbfade
edafcb,bcfade
edbacf,fcabde
edbafc,cfabde
edbcaf,facbde
edbcfa,afcbde
edbfac,cafbde
edbfca,acfbde
edcabf,fbacde
edcafb,bfacde
edcbaf,fabcde
edcbfa,afbcde
edcfab,bafcde
edcfba,abfcde
edfabc,cbafde
edfacb,bcafde
edfbac,cabfde
edfbca,acbfde
edfcab,bacfde
edfcba,abcfde
efabcd,dcbafe
efabdc,cdbafe
efacbd,dbcafe
efacdb,bdcafe
efadbc,cbdafe
efadcb,bcdafe
efbacd,dcabfe
efbadc,cdabfe
efbcad,dacbfe
efbcda,adcbfe
efbdac,cadbfe
efbdca,acdbfe
efcabd,dbacfe
efcadb,bdacfe
efcbad,dabcfe
efcbda,adbcfe
efcdab,badcfe
efcdba,abdcfe
efdabc,cbadfe
efdacb,bcadfe
efdbac,cabdfe
efdbca,acbdfe
efdcab,bacdfe
efdcba,abcdfe
fabcde,edcbaf
fabced,decbaf
fabdce,ecdbaf
fabdec,cedbaf
fabecd,dcebaf
fabedc,cdebaf
facbde,edbcaf
facbed,debcaf
facdbe,ebdcaf
facdeb,bedcaf
facebd,dbecaf
facedb,bdecaf
fadbce,ecbdaf
fadbec,cebdaf
fadcbe,ebcdaf
fadceb,becdaf
fadebc,cbedaf
fadecb,bcedaf
faebcd,dcbeaf
faebdc,cdbeaf
faecbd,dbceaf
faecdb,bdceaf
faedbc,cbdeaf
faedcb,bcdeaf
fbacde,edcabf
fbaced,decabf
fbadce,ecdabf
fbadec,cedabf
fbaecd,dceabf
fbaedc,cdeabf
fbcade,edacbf
fbcaed,deacbf
fbcdae,eadcbf
fbcdea,aedcbf
fbcead,daecbf
fbceda,adecbf
fbdace,ecadbf
fbdaec,ceadbf
fbdcae,eacdbf
fbdcea,aecdbf
fbdeac,caedbf
fbdeca,acedbf
fbeacd,dcaebf
fbeadc,cdaebf
fbecad,dacebf
fbecda,adcebf
fbedac,cadebf
fbedca,acdebf
fcabde,edbacf
fcabed,debacf
fcadbe,ebdacf
fcadeb,bedacf
fcaebd,dbeacf
fcaedb,bdeacf
fcbade,edabcf
fcbaed,deabcf
fcbdae,eadbcf
fcbdea,aedbcf
fcbead,daebcf
fcbeda,adebcf
fcdabe,ebadcf
fcdaeb,beadcf
fcdbae,eabdcf
fcdbea,aebdcf
fcdeab,baedcf
fcdeba,abedcf
fceabd,dbaecf
fceadb,bdaecf
fcebad,dabecf
fcebda,adbecf
fcedab,badecf
fcedba,abdecf
fdabce,ecbadf
fdabec,cebadf
fdacbe,ebcadf
fdaceb,becadf
fdaebc,cbeadf
fdaecb,bceadf
fdbace,ecabdf
fdbaec,ceabdf
fdbcae,eacbdf
fdbcea,aecbdf
fdbeac,caebdf
fdbeca,acebdf
fdcabe,ebacdf
fdcaeb,beacdf
fdcbae,eabcdf
fdcbea,aebcdf
fdceab,baecdf
fdceba,abecdf
fdeabc,cbaedf
fdeacb,bcaedf
fdebac,cabedf
fdebca,acbedf
fdecab,bacedf
fdecba,abcedf
feabcd,dcbaef
feabdc,cdbaef
feacbd,dbcaef
feacdb,bdcaef
feadbc,cbdaef
feadcb,bcdaef
febacd,dcabef
febadc,cdabef
febcad,dacbef
febcda,adcbef
febdac,cadbef
febdca,acdbef
fecabd,dbacef
fecadb,bdacef
fecbad,dabcef
fecbda,adbcef
fecdab,badcef
fecdba,abdcef
fedabc,cbadef
fedacb,bcadef
fedbac,cabdef
fedbca,acbdef
fedcab,bacdef
fedcba,abcdef
