a,aaa3c2b1
4bc2d,d2cb4dd1
4bc3a,a3cb4aa1
4bc31,13cb4111
4bc32,23cb4221
4bc3d,d3cb4dd1
4bcda,adcb4aa1
4bcd1,1dcb4111
4bcd2,2dcb4221
4bcd3,3dcb4331
4b3a1,1a3b4111
4b3a2,2a3b4221
4b3ac,ca3b4cc1
4b3ad,da3b4dd1
4b31a,a13b4aa1
4b312,213b4221
4b31c,c13b4cc1
4b31d,d13b4dd1
4b32a,a23b4aa1
4b321,123b4111
4b32c,c23b4cc1
4b32d,d23b4dd1
4b3ca,ac3b4aa1
4b3c1,1c3b4111
4b3c2,2c3b4221
4b3cd,dc3b4dd1
4b3da,ad3b4aa1
4b3d1,1d3b4111
4b3d2,2d3b4221
4b3dc,cd3b4cc1
4bda1,1adb4111
4bda2,2adb4221
4bdac,cadb4cc1
4bda3,3adb4331
4bd1a,a1db4aa1
4bd12,21db4221
4bd1c,c1db4cc1
4bd13,31db4331
4bd2a,a2db4aa1
4bd21,12db4111
4bd2c,c2db4cc1
4bd23,32db4331
4bdca,acdb4aa1
4bdc1,1cdb4111
4bdc2,2cdb4221
4bdc3,3cdb4331
4bd3a,a3db4aa1
4bd31,13db4111
4bd32,23db4221
4bd3c,c3db4cc1
42a1b,b1a24bb1
42a1c,c1a24cc1
42a13,31a24331
42a1d,d1a24dd1
42ab1,1ba24111
42abc,cba24cc1
42ab3,3ba24331
42abd,dba24dd1
42ac1,1ca24111
42acb,bca24bb1
42ac3,3ca24331
42acd,dca24dd1
42a31,13a24111
42a3b,b3a24bb1
42a3c,c3a24cc1
42a3d,d3a24dd1
42ad1,1da24111
42adb,bda24bb1
42adc,cda24cc1
42ad3,3da24331
421ab,ba124bb1
421ac,ca124cc1
421a3,3a124331
421ad,da124dd1
421ba,ab124aa1
421bc,cb124cc1
421b3,3b124331
421bd,db124dd1
421ca,ac124aa1
421cb,bc124bb1
421c3,3c124331
421cd,dc124dd1
4213a,a3124aa1
4213b,b3124bb1
4213c,c3124cc1
4213d,d3124dd1
421da,ad124aa1
421db,bd124bb1
421dc,cd124cc1
421d3,3d124331
42ba1,1ab24111
42bac,cab24cc1
42ba3,3ab24331
42bad,dab24dd1
42b1a,a1b24aa1
42b1c,c1b24cc1
42b13,31b24331
42b1d,d1b24dd1
42bca,acb24aa1
42bc1,1cb24111
42bc3,3cb24331
42bcd,dcb24dd1
42b3a,a3b24aa1
42b31,13b24111
42b3c,c3b24cc1
42b3d,d3b24dd1
42bda,adb24aa1
42bd1,1db24111
42bdc,cdb24cc1
42bd3,3db24331
42ca1,1ac24111
42cab,bac24bb1
42ca3,3ac24331
42cad,dac24dd1
42c1a,a1c24aa1
42c1b,b1c24bb1
42c13,31c24331
42c1d,d1c24dd1
42cba,abc24aa1
42cb1,1bc24111
42cb3,3bc24331
42cbd,dbc24dd1
42c3a,a3c24aa1
42c31,13c24111
42c3b,b3c24bb1
42c3d,d3c24dd1
42cda,adc24aa1
42cd1,1dc24111
42cdb,bdc24bb1
42cd3,3dc24331
423a1,1a324111
423ab,ba324bb1
423ac,ca324cc1
423ad,da324dd1
4231a,a1324aa1
4231b,b1324bb1
4231c,c1324cc1
4231d,d1324dd1
423ba,ab324aa1
423b1,1b324111
423bc,cb324cc1
423bd,db324dd1
423ca,ac324aa1
423c1,1c324111
423cb,bc324bb1
423cd,dc324dd1
423da,ad324aa1
423d1,1d324111
423db,bd324bb1
423dc,cd324cc1
42da1,1ad24111
42dab,bad24bb1
42dac,cad24cc1
42da3,3ad24331
42d1a,a1d24aa1
42d1b,b1d24bb1
42d1c,c1d24cc1
42d13,31d24331
42dba,abd24aa1
42db1,1bd24111
42dbc,cbd24cc1
42db3,3bd24331
42dca,acd24aa1
42dc1,1cd24111
42dcb,bcd24bb1
42dc3,3cd24331
42d3a,a3d24aa1
42d31,13d24111
42d3b,b3d24bb1
42d3c,c3d24cc1
4ca1b,b1ac4bb1
4ca12,21ac4221
4ca13,31ac4331
4ca1d,d1ac4dd1
4cab1,1bac4111
4cab2,2bac4221
4cab3,3bac4331
4cabd,dbac4dd1
4ca21,12ac4111
4ca2b,b2ac4bb1
4ca23,32ac4331
4ca2d,d2ac4dd1
4ca31,13ac4111
4ca3b,b3ac4bb1
4ca32,23ac4221
4ca3d,d3ac4dd1
4cad1,1dac4111
4cadb,bdac4bb1
4cad2,2dac4221
4cad3,3dac4331
4c1ab,ba1c4bb1
4c1a2,2a1c4221
4c1a3,3a1c4331
4c1ad,da1c4dd1
4c1ba,ab1c4aa1
4c1b2,2b1c4221
4c1b3,3b1c4331
4c1bd,db1c4dd1
4c12a,a21c4aa1
4c12b,b21c4bb1
4c123,321c4331
4c12d,d21c4dd1
4c13a,a31c4aa1
4c13b,b31c4bb1
4c132,231c4221
4c13d,d31c4dd1
4c1da,ad1c4aa1
4c1db,bd1c4bb1
4c1d2,2d1c4221
4c1d3,3d1c4331
4cba1,1abc4111
4cba2,2abc4221
4cba3,3abc4331
4cbad,dabc4dd1
4cb1a,a1bc4aa1
4cb12,21bc4221
4cb13,31bc4331
4cb1d,d1bc4dd1
4cb2a,a2bc4aa1
4cb21,12bc4111
4cb23,32bc4331
4cb2d,d2bc4dd1
4cb3a,a3bc4aa1
4cb31,13bc4111
4cb32,23bc4221
4cb3d,d3bc4dd1
4cbda,adbc4aa1
4cbd1,1dbc4111
4cbd2,2dbc4221
4cbd3,3dbc4331
4c2a1,1a2c4111
4c2ab,ba2c4bb1
4c2a3,3a2c4331
4c2ad,da2c4dd1
4c21a,a12c4aa1
4c21b,b12c4bb1
4c213,312c4331
4c21d,d12c4dd1
4c2ba,ab2c4aa1
4c2b1,1b2c4111
4c2b3,3b2c4331
4c2bd,db2c4dd1
4c23a,a32c4aa1
4c231,132c4111
4c23b,b32c4bb1
4c23d,d32c4dd1
4c2da,ad2c4aa1
4c2d1,1d2c4111
4c2db,bd2c4bb1
4c2d3,3d2c4331
4c3a1,1a3c4111
4c3ab,ba3c4bb1
4c3a2,2a3c4221
4c3ad,da3c4dd1
4c31a,a13c4aa1
4c31b,b13c4bb1
4c312,213c4221
4c31d,d13c4dd1
4c3ba,ab3c4aa1
4c3b1,1b3c4111
4c3b2,2b3c4221
4c3bd,db3c4dd1
4c32a,a23c4aa1
4c321,123c4111
4c32b,b23c4bb1
4c32d,d23c4dd1
4c3da,ad3c4aa1
4c3d1,1d3c4111
4c3db,bd3c4bb1
4c3d2,2d3c4221
4cda1,1adc4111
4cdab,badc4bb1
4cda2,2adc4221
4cda3,3adc4331
4cd1a,a1dc4aa1
4cd1b,b1dc4bb1
4cd12,21dc4221
4cd13,31dc4331
4cdba,abdc4aa1
4cdb1,1bdc4111
4cdb2,2bdc4221
4cdb3,3bdc4331
4cd2a,a2dc4aa1
4cd21,12dc4111
4cd2b,b2dc4bb1
4cd23,32dc4331
4cd3a,a3dc4aa1
4cd31,13dc4111
4cd3b,b3dc4bb1
4cd32,23dc4221
43a1b,b1a34bb1
43a12,21a34221
43a1c,c1a34cc1
43a1d,d1a34dd1
43ab1,1ba34111
43ab2,2ba34221
43abc,cba34cc1
43abd,dba34dd1
43a21,12a34111
43a2b,b2a34bb1
43a2c,c2a34cc1
43a2d,d2a34dd1
43ac1,1ca34111
43acb,bca34bb1
43ac2,2ca34221
43acd,dca34dd1
43ad1,1da34111
43adb,bda34bb1
43ad2,2da34221
43adc,cda34cc1
431ab,ba134bb1
431a2,2a134221
431ac,ca134cc1
431ad,da134dd1
431ba,ab134aa1
431b2,2b134221
431bc,cb134cc1
431bd,db134dd1
4312a,a2134aa1
4312b,b2134bb1
4312c,c2134cc1
4312d,d2134dd1
431ca,ac134aa1
431cb,bc134bb1
431c2,2c134221
431cd,dc134dd1
431da,ad134aa1
431db,bd134bb1
431d2,2d134221
431dc,cd134cc1
43ba1,1ab34111
43ba2,2ab34221
43bac,cab34cc1
43bad,dab34dd1
43b1a,a1b34aa1
43b12,21b34221
43b1c,c1b34cc1
43b1d,d1b34dd1
43b2a,a2b34aa1
43b21,12b34111
43b2c,c2b34cc1
43b2d,d2b34dd1
43bca,acb34aa1
43bc1,1cb34111
43bc2,2cb34221
43bcd,dcb34dd1
43bda,adb34aa1
43bd1,1db34111
43bd2,2db34221
43bdc,cdb34cc1
432a1,1a234111
432ab,ba234bb1
432ac,ca234cc1
432ad,da234dd1
4321a,a1234aa1
4321b,b1234bb1
4321c,c1234cc1
4321d,d1234dd1
432ba,ab234aa1
432b1,1b234111
432bc,cb234cc1
432bd,db234dd1
432ca,ac234aa1
432c1,1c234111
432cb,bc234bb1
432cd,dc234dd1
432da,ad234aa1
432d1,1d234111
432db,bd234bb1
432dc,cd234cc1
43ca1,1ac34111
43cab,bac34bb1
43ca2,2ac34221
43cad,dac34dd1
43c1a,a1c34aa1
43c1b,b1c34bb1
43c12,21c34221
43c1d,d1c34dd1
43cba,abc34aa1
43cb1,1bc34111
43cb2,2bc34221
43cbd,dbc34dd1
43c2a,a2c34aa1
43c21,12c34111
43c2b,b2c34bb1
43c2d,d2c34dd1
43cda,adc34aa1
43cd1,1dc34111
43cdb,bdc34bb1
43cd2,2dc34221
43da1,1ad34111
43dab,bad34bb1
43da2,2ad34221
43dac,cad34cc1
43d1a,a1d34aa1
43d1b,b1d34bb1
43d12,21d34221
43d1c,c1d34cc1
43dba,abd34aa1
43db1,1bd34111
43db2,2bd34221
43dbc,cbd34cc1
43d2a,a2d34aa1
43d21,12d34111
43d2b,b2d34bb1
43d2c,c2d34cc1
43dca,acd34aa1
43dc1,1cd34111
43dcb,bcd34bb1
43dc2,2cd34221
4da1b,b1ad4bb1
4da12,21ad4221
4da1c,c1ad4cc1
4da13,31ad4331
4dab1,1bad4111
4dab2,2bad4221
4dabc,cbad4cc1
4dab3,3bad4331
4da21,12ad4111
4da2b,b2ad4bb1
4da2c,c2ad4cc1
4da23,32ad4331
4dac1,1cad4111
4dacb,bcad4bb1
4dac2,2cad4221
4dac3,3cad4331
4da31,13ad4111
4da3b,b3ad4bb1
4da32,23ad4221
4da3c,c3ad4cc1
4d1ab,ba1d4bb1
4d1a2,2a1d4221
4d1ac,ca1d4cc1
4d1a3,3a1d4331
4d1ba,ab1d4aa1
4d1b2,2b1d4221
4d1bc,cb1d4cc1
4d1b3,3b1d4331
4d12a,a21d4aa1
4d12b,b21d4bb1
4d12c,c21d4cc1
4d123,321d4331
4d1ca,ac1d4aa1
4d1cb,bc1d4bb1
4d1c2,2c1d4221
4d1c3,3c1d4331
4d13a,a31d4aa1
4d13b,b31d4bb1
4d132,231d4221
4d13c,c31d4cc1
4dba1,1abd4111
4dba2,2abd4221
4dbac,cabd4cc1
4dba3,3abd4331
4db1a,a1bd4aa1
4db12,21bd4221
4db1c,c1bd4cc1
4db13,31bd4331
4db2a,a2bd4aa1
4db21,12bd4111
4db2c,c2bd4cc1
4db23,32bd4331
4dbca,acbd4aa1
4dbc1,1cbd4111
4dbc2,2cbd4221
4dbc3,3cbd4331
4db3a,a3bd4aa1
4db31,13bd4111
4db32,23bd4221
4db3c,c3bd4cc1
4d2a1,1a2d4111
4d2ab,ba2d4bb1
4d2ac,ca2d4cc1
4d2a3,3a2d4331
4d21a,a12d4aa1
4d21b,b12d4bb1
4d21c,c12d4cc1
4d213,312d4331
4d2ba,ab2d4aa1
4d2b1,1b2d4111
4d2bc,cb2d4cc1
4d2b3,3b2d4331
4d2ca,ac2d4aa1
4d2c1,1c2d4111
4d2cb,bc2d4bb1
4d2c3,3c2d4331
4d23a,a32d4aa1
4d231,132d4111
4d23b,b32d4bb1
4d23c,c32d4cc1
4dca1,1acd4111
4dcab,bacd4bb1
4dca2,2acd4221
4dca3,3acd4331
4dc1a,a1cd4aa1
4dc1b,b1cd4bb1
4dc12,21cd4221
4dc13,31cd4331
4dcba,abcd4aa1
4dcb1,1bcd4111
4dcb2,2bcd4221
4dcb3,3bcd4331
4dc2a,a2cd4aa1
4dc21,12cd4111
4dc2b,b2cd4bb1
4dc23,32cd4331
4dc3a,a3cd4aa1
4dc31,13cd4111
4dc3b,b3cd4bb1
4dc32,23cd4221
4d3a1,1a3d4111
4d3ab,ba3d4bb1
4d3a2,2a3d4221
4d3ac,ca3d4cc1
4d31a,a13d4aa1
4d31b,b13d4bb1
4d312,213d4221
4d31c,c13d4cc1
4d3ba,ab3d4aa1
4d3b1,1b3d4111
4d3b2,2b3d4221
4d3bc,cb3d4cc1
4d32a,a23d4aa1
4d321,123d4111
4d32b,b23d4bb1
4d32c,c23d4cc1
4d3ca,ac3d4aa1
4d3c1,1c3d4111
4d3cb,bc3d4bb1
4d3c2,2c3d4221
a1b2c3,3c2b1a33
a1b2cd,dc2b1add
a1b2c4,4c2b1a44
a1b23c,c32b1acc
a1b23d,d32b1add
a1b234,432b1a44
a1b2dc,cd2b1acc
a1b2d3,3d2b1a33
a1b2d4,4d2b1a44
a1b24c,c42b1acc
a1b243,342b1a33
a1b24d,d42b1add
a1bc23,32cb1a33
a1bc2d,d2cb1add
a1bc24,42cb1a44
a1bc32,23cb1a22
a1bc3d,d3cb1add
a1bc34,43cb1a44
a1bcd2,2dcb1a22
a1bcd3,3dcb1a33
a1bcd4,4dcb1a44
a1bc42,24cb1a22
a1bc43,34cb1a33
a1bc4d,d4cb1add
a1b32c,c23b1acc
a1b32d,d23b1add
a1b324,423b1a44
a1b3c2,2c3b1a22
a1b3cd,dc3b1add
a1b3c4,4c3b1a44
a1b3d2,2d3b1a22
a1b3dc,cd3b1acc
a1b3d4,4d3b1a44
a1b342,243b1a22
a1b34c,c43b1acc
a1b34d,d43b1add
a1bd2c,c2db1acc
a1bd23,32db1a33
a1bd24,42db1a44
a1bdc2,2cdb1a22
a1bdc3,3cdb1a33
a1bdc4,4cdb1a44
a1bd32,23db1a22
a1bd3c,c3db1acc
a1bd34,43db1a44
a1bd42,24db1a22
a1bd4c,c4db1acc
a1bd43,34db1a33
a1b42c,c24b1acc
a1b423,324b1a33
a1b42d,d24b1add
a1b4c2,2c4b1a22
a1b4c3,3c4b1a33
a1b4cd,dc4b1add
a1b432,234b1a22
a1b43c,c34b1acc
a1b43d,d34b1add
a1b4d2,2d4b1a22
a1b4dc,cd4b1acc
a1b4d3,3d4b1a33
a12bc3,3cb21a33
a12bcd,dcb21add
a12bc4,4cb21a44
a12b3c,c3b21acc
a12b3d,d3b21add
a12b34,43b21a44
a12bdc,cdb21acc
a12bd3,3db21a33
a12bd4,4db21a44
a12b4c,c4b21acc
a12b43,34b21a33
a12b4d,d4b21add
a12cb3,3bc21a33
a12cbd,dbc21add
a12cb4,4bc21a44
a12c3b,b3c21abb
a12c3d,d3c21add
a12c34,43c21a44
a12cdb,bdc21abb
a12cd3,3dc21a33
a12cd4,4dc21a44
a12c4b,b4c21abb
a12c43,34c21a33
a12c4d,d4c21add
a123bc,cb321acc
a123bd,db321add
a123b4,4b321a44
a123cb,bc321abb
a123cd,dc321add
a123c4,4c321a44
a123db,bd321abb
a123dc,cd321acc
a123d4,4d321a44
a1234b,b4321abb
a1234c,c4321acc
a1234d,d4321add
a12dbc,cbd21acc
a12db3,3bd21a33
a12db4,4bd21a44
a12dcb,bcd21abb
a12dc3,3cd21a33
a12dc4,4cd21a44
a12d3b,b3d21abb
a12d3c,c3d21acc
a12d34,43d21a44
a12d4b,b4d21abb
a12d4c,c4d21acc
a12d43,34d21a33
a124bc,cb421acc
a124b3,3b421a33
a124bd,db421add
a124cb,bc421abb
a124c3,3c421a33
a124cd,dc421add
a1243b,b3421abb
a1243c,c3421acc
a1243d,d3421add
a124db,bd421abb
a124dc,cd421acc
a124d3,3d421a33
a1cb23,32bc1a33
a1cb2d,d2bc1add
a1cb24,42bc1a44
a1cb32,23bc1a22
a1cb3d,d3bc1add
a1cb34,43bc1a44
a1cbd2,2dbc1a22
a1cbd3,3dbc1a33
a1cbd4,4dbc1a44
a1cb42,24bc1a22
a1cb43,34bc1a33
a1cb4d,d4bc1add
a1c2b3,3b2c1a33
a1c2bd,db2c1add
a1c2b4,4b2c1a44
a1c23b,b32c1abb
a1c23d,d32c1add
a1c234,432c1a44
a1c2db,bd2c1abb
a1c2d3,3d2c1a33
a1c2d4,4d2c1a44
a1c24b,b42c1abb
a1c243,342c1a33
a1c24d,d42c1add
a1c3b2,2b3c1a22
a1c3bd,db3c1add
a1c3b4,4b3c1a44
a1c32b,b23c1abb
a1c32d,d23c1add
a1c324,423c1a44
a1c3db,bd3c1abb
a1c3d2,2d3c1a22
a1c3d4,4d3c1a44
a1c34b,b43c1abb
a1c342,243c1a22
a1c34d,d43c1add
a1cdb2,2bdc1a22
a1cdb3,3bdc1a33
a1cdb4,4bdc1a44
a1cd2b,b2dc1abb
a1cd23,32dc1a33
a1cd24,42dc1a44
a1cd3b,b3dc1abb
a1cd32,23dc1a22
a1cd34,43dc1a44
a1cd4b,b4dc1abb
a1cd42,24dc1a22
a1cd43,34dc1a33
a1c4b2,2b4c1a22
a1c4b3,3b4c1a33
a1c4bd,db4c1add
a1c42b,b24c1abb
a1c423,324c1a33
a1c42d,d24c1add
a1c43b,b34c1abb
a1c432,234c1a22
a1c43d,d34c1add
a1c4db,bd4c1abb
a1c4d2,2d4c1a22
a1c4d3,3d4c1a33
a13b2c,c2b31acc
a13b2d,d2b31add
a13b24,42b31a44
a13bc2,2cb31a22
a13bcd,dcb31add
a13bc4,4cb31a44
a13bd2,2db31a22
a13bdc,cdb31acc
a13bd4,4db31a44
a13b42,24b31a22
a13b4c,c4b31acc
a13b4d,d4b31add
a132bc,cb231acc
a132bd,db231add
a132b4,4b231a44
a132cb,bc231abb
a132cd,dc231add
a132c4,4c231a44
a132db,bd231abb
a132dc,cd231acc
a132d4,4d231a44
a1324b,b4231abb
a1324c,c4231acc
a1324d,d4231add
a13cb2,2bc31a22
a13cbd,dbc31add
a13cb4,4bc31a44
a13c2b,b2c31abb
a13c2d,d2c31add
a13c24,42c31a44
a13cdb,bdc31abb
a13cd2,2dc31a22
a13cd4,4dc31a44
a13c4b,b4c31abb
a13c42,24c31a22
a13c4d,d4c31add
a13db2,2bd31a22
a13dbc,cbd31acc
a13db4,4bd31a44
a13d2b,b2d31abb
a13d2c,c2d31acc
a13d24,42d31a44
a13dcb,bcd31abb
a13dc2,2cd31a22
a13dc4,4cd31a44
a13d4b,b4d31abb
a13d42,24d31a22
a13d4c,c4d31acc
a134b2,2b431a22
a134bc,cb431acc
a134bd,db431add
a1342b,b2431abb
a1342c,c2431acc
a1342d,d2431add
a134cb,bc431abb
a134c2,2c431a22
a134cd,dc431add
a134db,bd431abb
a134d2,2d431a22
a134dc,cd431acc
a1db2c,c2bd1acc
a1db23,32bd1a33
a1db24,42bd1a44
a1dbc2,2cbd1a22
a1dbc3,3cbd1a33
a1dbc4,4cbd1a44
a1db32,23bd1a22
a1db3c,c3bd1acc
a1db34,43bd1a44
a1db42,24bd1a22
a1db4c,c4bd1acc
a1db43,34bd1a33
a1d2bc,cb2d1acc
a1d2b3,3b2d1a33
a1d2b4,4b2d1a44
a1d2cb,bc2d1abb
a1d2c3,3c2d1a33
a1d2c4,4c2d1a44
a1d23b,b32d1abb
a1d23c,c32d1acc
a1d234,432d1a44
a1d24b,b42d1abb
a1d24c,c42d1acc
a1d243,342d1a33
a1dcb2,2bcd1a22
a1dcb3,3bcd1a33
a1dcb4,4bcd1a44
a1dc2b,b2cd1abb
a1dc23,32cd1a33
a1dc24,42cd1a44
a1dc3b,b3cd1abb
a1dc32,23cd1a22
a1dc34,43cd1a44
a1dc4b,b4cd1abb
a1dc42,24cd1a22
a1dc43,34cd1a33
a1d3b2,2b3d1a22
a1d3bc,cb3d1acc
a1d3b4,4b3d1a44
a1d32b,b23d1abb
a1d32c,c23d1acc
a1d324,423d1a44
a1d3cb,bc3d1abb
a1d3c2,2c3d1a22
a1d3c4,4c3d1a44
a1d34b,b43d1abb
a1d342,243d1a22
a1d34c,c43d1acc
a1d4b2,2b4d1a22
a1d4bc,cb4d1acc
a1d4b3,3b4d1a33
a1d42b,b24d1abb
a1d42c,c24d1acc
a1d423,324d1a33
a1d4cb,bc4d1abb
a1d4c2,2c4d1a22
a1d4c3,3c4d1a33
a1d43b,b34d1abb
a1d432,234d1a22
a1d43c,c34d1acc
a14b2c,c2b41acc
a14b23,32b41a33
a14b2d,d2b41add
a14bc2,2cb41a22
a14bc3,3cb41a33
a14bcd,dcb41add
a14b32,23b41a22
a14b3c,c3b41acc
a14b3d,d3b41add
a14bd2,2db41a22
a14bdc,cdb41acc
a14bd3,3db41a33
a142bc,cb241acc
a142b3,3b241a33
a142bd,db241add
a142cb,bc241abb
a142c3,3c241a33
a142cd,dc241add
a1423b,b3241abb
a1423c,c3241acc
a1423d,d3241add
a142db,bd241abb
a142dc,cd241acc
a142d3,3d241a33
a14cb2,2bc41a22
a14cb3,3bc41a33
a14cbd,dbc41add
a14c2b,b2c41abb
a14c23,32c41a33
a14c2d,d2c41add
a14c3b,b3c41abb
a14c32,23c41a22
a14c3d,d3c41add
a14cdb,bdc41abb
a14cd2,2dc41a22
a14cd3,3dc41a33
a143b2,2b341a22
a143bc,cb341acc
a143bd,db341add
a1432b,b2341abb
a1432c,c2341acc
a1432d,d2341add
a143cb,bc341abb
a143c2,2c341a22
a143cd,dc341add
a143db,bd341abb
a143d2,2d341a22
a143dc,cd341acc
a14db2,2bd41a22
a14dbc,cbd41acc
a14db3,3bd41a33
a14d2b,b2d41abb
a14d2c,c2d41acc
a14d23,32d41a33
a14dcb,bcd41abb
a14dc2,2cd41a22
a14dc3,3cd41a33
a14d3b,b3d41abb
a14d32,23d41a22
a14d3c,c3d41acc
ab12c3,3c21ba33
ab12cd,dc21badd
ab12c4,4c21ba44
ab123c,c321bacc
ab123d,d321badd
ab1234,4321ba44
ab12dc,cd21bacc
ab12d3,3d21ba33
ab12d4,4d21ba44
ab124c,c421bacc
ab1243,3421ba33
ab124d,d421badd
ab1c23,32c1ba33
ab1c2d,d2c1badd
ab1c24,42c1ba44
ab1c32,23c1ba22
ab1c3d,d3c1badd
ab1c34,43c1ba44
ab1cd2,2dc1ba22
ab1cd3,3dc1ba33
ab1cd4,4dc1ba44
ab1c42,24c1ba22
ab1c43,34c1ba33
ab1c4d,d4c1badd
ab132c,c231bacc
ab132d,d231badd
ab1324,4231ba44
ab13c2,2c31ba22
ab13cd,dc31badd
ab13c4,4c31ba44
ab13d2,2d31ba22
ab13dc,cd31bacc
ab13d4,4d31ba44
ab1342,2431ba22
ab134c,c431bacc
ab134d,d431badd
ab1d2c,c2d1bacc
ab1d23,32d1ba33
ab1d24,42d1ba44
ab1dc2,2cd1ba22
ab1dc3,3cd1ba33
ab1dc4,4cd1ba44
ab1d32,23d1ba22
ab1d3c,c3d1bacc
ab1d34,43d1ba44
ab1d42,24d1ba22
ab1d4c,c4d1bacc
ab1d43,34d1ba33
ab142c,c241bacc
ab1423,3241ba33
ab142d,d241badd
ab14c2,2c41ba22
ab14c3,3c41ba33
ab14cd,dc41badd
ab1432,2341ba22
ab143c,c341bacc
ab143d,d341badd
ab14d2,2d41ba22
ab14dc,cd41bacc
ab14d3,3d41ba33
ab21c3,3c12ba33
ab21cd,dc12badd
ab21c4,4c12ba44
ab213c,c312bacc
ab213d,d312badd
ab2134,4312ba44
ab21dc,cd12bacc
ab21d3,3d12ba33
ab21d4,4d12ba44
ab214c,c412bacc
ab2143,3412ba33
ab214d,d412badd
ab2c13,31c2ba33
ab2c1d,d1c2badd
ab2c14,41c2ba44
ab2c31,13c2ba11
ab2c3d,d3c2badd
ab2c34,43c2ba44
ab2cd1,1dc2ba11
ab2cd3,3dc2ba33
ab2cd4,4dc2ba44
ab2c41,14c2ba11
ab2c43,34c2ba33
ab2c4d,d4c2badd
ab231c,c132bacc
ab231d,d132badd
ab2314,4132ba44
ab23c1,1c32ba11
ab23cd,dc32badd
ab23c4,4c32ba44
ab23d1,1d32ba11
ab23dc,cd32bacc
ab23d4,4d32ba44
ab2341,1432ba11
ab234c,c432bacc
ab234d,d432badd
ab2d1c,c1d2bacc
ab2d13,31d2ba33
ab2d14,41d2ba44
ab2dc1,1cd2ba11
ab2dc3,3cd2ba33
ab2dc4,4cd2ba44
ab2d31,13d2ba11
ab2d3c,c3d2bacc
ab2d34,43d2ba44
ab2d41,14d2ba11
ab2d4c,c4d2bacc
ab2d43,34d2ba33
ab241c,c142bacc
ab2413,3142ba33
ab241d,d142badd
ab24c1,1c42ba11
ab24c3,3c42ba33
ab24cd,dc42badd
ab2431,1342ba11
ab243c,c342bacc
ab243d,d342badd
ab24d1,1d42ba11
ab24dc,cd42bacc
ab24d3,3d42ba33
abc123,321cba33
abc12d,d21cbadd
abc124,421cba44
abc132,231cba22
abc13d,d31cbadd
abc134,431cba44
abc1d2,2d1cba22
abc1d3,3d1cba33
abc1d4,4d1cba44
abc142,241cba22
abc143,341cba33
abc14d,d41cbadd
abc213,312cba33
abc21d,d12cbadd
abc214,412cba44
abc231,132cba11
abc23d,d32cbadd
abc234,432cba44
abc2d1,1d2cba11
abc2d3,3d2cba33
abc2d4,4d2cba44
abc241,142cba11
abc243,342cba33
abc24d,d42cbadd
abc312,213cba22
abc31d,d13cbadd
abc314,413cba44
abc321,123cba11
abc32d,d23cbadd
abc324,423cba44
abc3d1,1d3cba11
abc3d2,2d3cba22
abc3d4,4d3cba44
abc341,143cba11
abc342,243cba22
abc34d,d43cbadd
abcd12,21dcba22
abcd13,31dcba33
abcd14,41dcba44
abcd21,12dcba11
abcd23,32dcba33
abcd24,42dcba44
abcd31,13dcba11
abcd32,23dcba22
abcd34,43dcba44
abcd41,14dcba11
abcd42,24dcba22
abcd43,34dcba33
abc412,214cba22
abc413,314cba33
abc41d,d14cbadd
abc421,124cba11
abc423,324cba33
abc42d,d24cbadd
abc431,134cba11
abc432,234cba22
abc43d,d34cbadd
abc4d1,1d4cba11
abc4d2,2d4cba22
abc4d3,3d4cba33
ab312c,c213bacc
ab312d,d213badd
ab3124,4213ba44
ab31c2,2c13ba22
ab31cd,dc13badd
ab31c4,4c13ba44
ab31d2,2d13ba22
ab31dc,cd13bacc
ab31d4,4d13ba44
ab3142,2413ba22
ab314c,c413bacc
ab314d,d413badd
ab321c,c123bacc
ab321d,d123badd
ab3214,4123ba44
ab32c1,1c23ba11
ab32cd,dc23badd
ab32c4,4c23ba44
ab32d1,1d23ba11
ab32dc,cd23bacc
ab32d4,4d23ba44
ab3241,1423ba11
ab324c,c423bacc
ab324d,d423badd
ab3c12,21c3ba22
ab3c1d,d1c3badd
ab3c14,41c3ba44
ab3c21,12c3ba11
ab3c2d,d2c3badd
ab3c24,42c3ba44
ab3cd1,1dc3ba11
ab3cd2,2dc3ba22
ab3cd4,4dc3ba44
ab3c41,14c3ba11
ab3c42,24c3ba22
ab3c4d,d4c3badd
ab3d12,21d3ba22
ab3d1c,c1d3bacc
ab3d14,41d3ba44
ab3d21,12d3ba11
ab3d2c,c2d3bacc
ab3d24,42d3ba44
ab3dc1,1cd3ba11
ab3dc2,2cd3ba22
ab3dc4,4cd3ba44
ab3d41,14d3ba11
ab3d42,24d3ba22
ab3d4c,c4d3bacc
ab3412,2143ba22
ab341c,c143bacc
ab341d,d143badd
ab3421,1243ba11
ab342c,c243bacc
ab342d,d243badd
ab34c1,1c43ba11
ab34c2,2c43ba22
ab34cd,dc43badd
ab34d1,1d43ba11
ab34d2,2d43ba22
ab34dc,cd43bacc
abd12c,c21dbacc
abd123,321dba33
abd124,421dba44
abd1c2,2c1dba22
abd1c3,3c1dba33
abd1c4,4c1dba44
abd132,231dba22
abd13c,c31dbacc
abd134,431dba44
abd142,241dba22
abd14c,c41dbacc
abd143,341dba33
abd21c,c12dbacc
abd213,312dba33
abd214,412dba44
abd2c1,1c2dba11
abd2c3,3c2dba33
