a,aaaedcb
acgefd,dfegcad
acgfbd,dbfgcad
acgfbe,ebfgcae
acgfdb,bdfgcab
acgfde,edfgcae
acgfeb,befgcab
acgfed,defgcad
adbcef,fecbdaf
adbceg,gecbdag
adbcfe,efcbdae
adbcfg,gfcbdag
adbcge,egcbdae
adbcgf,fgcbdaf
adbecf,fcebdaf
adbecg,gcebdag
adbefc,cfebdac
adbefg,gfebdag
adbegc,cgebdac
adbegf,fgebdaf
adbfce,ecfbdae
adbfcg,gcfbdag
adbfec,cefbdac
adbfeg,gefbdag
adbfgc,cgfbdac
adbfge,egfbdae
adbgce,ecgbdae
adbgcf,fcgbdaf
adbgec,cegbdac
adbgef,fegbdaf
adbgfc,cfgbdac
adbgfe,efgbdae
adcbef,febcdaf
adcbeg,gebcdag
adcbfe,efbcdae
adcbfg,gfbcdag
adcbge,egbcdae
adcbgf,fgbcdaf
adcebf,fbecdaf
adcebg,gbecdag
adcefb,bfecdab
adcefg,gfecdag
adcegb,bgecdab
adcegf,fgecdaf
adcfbe,ebfcdae
adcfbg,gbfcdag
adcfeb,befcdab
adcfeg,gefcdag
adcfgb,bgfcdab
adcfge,egfcdae
adcgbe,ebgcdae
adcgbf,fbgcdaf
adcgeb,begcdab
adcgef,fegcdaf
adcgfb,bfgcdab
adcgfe,efgcdae
adebcf,fcbedaf
adebcg,gcbedag
adebfc,cfbedac
adebfg,gfbedag
adebgc,cgbedac
adebgf,fgbedaf
adecbf,fbcedaf
adecbg,gbcedag
adecfb,bfcedab
adecfg,gfcedag
adecgb,bgcedab
adecgf,fgcedaf
adefbc,cbfedac
adefbg,gbfedag
adefcb,bcfedab
adefcg,gcfedag
adefgb,bgfedab
adefgc,cgfedac
adegbc,cbgedac
adegbf,fbgedaf
adegcb,bcgedab
adegcf,fcgedaf
adegfb,bfgedab
adegfc,cfgedac
adfbce,ecbfdae
adfbcg,gcbfdag
adfbec,cebfdac
adfbeg,gebfdag
adfbgc,cgbfdac
adfbge,egbfdae
adfcbe,ebcfdae
adfcbg,gbcfdag
adfceb,becfdab
adfceg,gecfdag
adfcgb,bgcfdab
adfcge,egcfdae
adfebc,cbefdac
adfebg,gbefdag
adfecb,bcefdab
adfecg,gcefdag
adfegb,bgefdab
adfegc,cgefdac
adfgbc,cbgfdac
adfgbe,ebgfdae
adfgcb,bcgfdab
adfgce,ecgfdae
adfgeb,begfdab
adfgec,cegfdac
adgbce,ecbgdae
adgbcf,fcbgdaf
adgbec,cebgdac
adgbef,febgdaf
adgbfc,cfbgdac
adgbfe,efbgdae
adgcbe,ebcgdae
adgcbf,fbcgdaf
adgceb,becgdab
adgcef,fecgdaf
adgcfb,bfcgdab
adgcfe,efcgdae
adgebc,cbegdac
adgebf,fbegdaf
adgecb,bcegdab
adgecf,fcegdaf
adgefb,bfegdab
adgefc,cfegdac
adgfbc,cbfgdac
adgfbe,ebfgdae
adgfcb,bcfgdab
adgfce,ecfgdae
adgfeb,befgdab
adgfec,cefgdac
aebcdf,fdcbeaf
aebcdg,gdcbeag
aebcfd,dfcbead
aebcfg,gfcbeag
aebcgd,dgcbead
aebcgf,fgcbeaf
aebdcf,fcdbeaf
aebdcg,gcdbeag
aebdfc,cfdbeac
aebdfg,gfdbeag
aebdgc,cgdbeac
aebdgf,fgdbeaf
aebfcd,dcfbead
aebfcg,gcfbeag
aebfdc,cdfbeac
aebfdg,gdfbeag
aebfgc,cgfbeac
aebfgd,dgfbead
aebgcd,dcgbead
aebgcf,fcgbeaf
aebgdc,cdgbeac
aebgdf,fdgbeaf
aebgfc,cfgbeac
aebgfd,dfgbead
aecbdf,fdbceaf
aecbdg,gdbceag
aecbfd,dfbcead
aecbfg,gfbceag
aecbgd,dgbcead
aecbgf,fgbceaf
aecdbf,fbdceaf
aecdbg,gbdceag
aecdfb,bfdceab
aecdfg,gfdceag
aecdgb,bgdceab
aecdgf,fgdceaf
aecfbd,dbfcead
aecfbg,gbfceag
aecfdb,bdfceab
aecfdg,gdfceag
aecfgb,bgfceab
aecfgd,dgfcead
aecgbd,dbgcead
aecgbf,fbgceaf
aecgdb,bdgceab
aecgdf,fdgceaf
aecgfb,bfgceab
aecgfd,dfgcead
aedbcf,fcbdeaf
aedbcg,gcbdeag
aedbfc,cfbdeac
aedbfg,gfbdeag
aedbgc,cgbdeac
aedbgf,fgbdeaf
aedcbf,fbcdeaf
aedcbg,gbcdeag
aedcfb,bfcdeab
aedcfg,gfcdeag
aedcgb,bgcdeab
aedcgf,fgcdeaf
aedfbc,cbfdeac
aedfbg,gbfdeag
aedfcb,bcfdeab
aedfcg,gcfdeag
aedfgb,bgfdeab
aedfgc,cgfdeac
aedgbc,cbgdeac
aedgbf,fbgdeaf
aedgcb,bcgdeab
aedgcf,fcgdeaf
aedgfb,bfgdeab
aedgfc,cfgdeac
aefbcd,dcbfead
aefbcg,gcbfeag
aefbdc,cdbfeac
aefbdg,gdbfeag
aefbgc,cgbfeac
aefbgd,dgbfead
aefcbd,dbcfead
aefcbg,gbcfeag
aefcdb,bdcfeab
aefcdg,gdcfeag
aefcgb,bgcfeab
aefcgd,dgcfead
aefdbc,cbdfeac
aefdbg,gbdfeag
aefdcb,bcdfeab
aefdcg,gcdfeag
aefdgb,bgdfeab
aefdgc,cgdfeac
aefgbc,cbgfeac
aefgbd,dbgfead
aefgcb,bcgfeab
aefgcd,dcgfead
aefgdb,bdgfeab
aefgdc,cdgfeac
aegbcd,dcbgead
aegbcf,fcbgeaf
aegbdc,cdbgeac
aegbdf,fdbgeaf
aegbfc,cfbgeac
aegbfd,dfbgead
aegcbd,dbcgead
aegcbf,fbcgeaf
aegcdb,bdcgeab
aegcdf,fdcgeaf
aegcfb,bfcgeab
aegcfd,dfcgead
aegdbc,cbdgeac
aegdbf,fbdgeaf
aegdcb,bcdgeab
aegdcf,fcdgeaf
aegdfb,bfdgeab
aegdfc,cfdgeac
aegfbc,cbfgeac
aegfbd,dbfgead
aegfcb,bcfgeab
aegfcd,dcfgead
aegfdb,bdfgeab
aegfdc,cdfgeac
afbcde,edcbfae
afbcdg,gdcbfag
afbced,decbfad
afbceg,gecbfag
afbcgd,dgcbfad
afbcge,egcbfae
afbdce,ecdbfae
afbdcg,gcdbfag
afbdec,cedbfac
afbdeg,gedbfag
afbdgc,cgdbfac
afbdge,egdbfae
afbecd,dcebfad
afbecg,gcebfag
afbedc,cdebfac
afbedg,gdebfag
afbegc,cgebfac
afbegd,dgebfad
afbgcd,dcgbfad
afbgce,ecgbfae
afbgdc,cdgbfac
afbgde,edgbfae
afbgec,cegbfac
afbged,degbfad
afcbde,edbcfae
afcbdg,gdbcfag
afcbed,debcfad
afcbeg,gebcfag
afcbgd,dgbcfad
afcbge,egbcfae
afcdbe,ebdcfae
afcdbg,gbdcfag
afcdeb,bedcfab
afcdeg,gedcfag
afcdgb,bgdcfab
afcdge,egdcfae
afcebd,dbecfad
afcebg,gbecfag
afcedb,bdecfab
afcedg,gdecfag
afcegb,bgecfab
afcegd,dgecfad
afcgbd,dbgcfad
afcgbe,ebgcfae
afcgdb,bdgcfab
afcgde,edgcfae
afcgeb,begcfab
afcged,degcfad
afdbce,ecbdfae
afdbcg,gcbdfag
afdbec,cebdfac
afdbeg,gebdfag
afdbgc,cgbdfac
afdbge,egbdfae
afdcbe,ebcdfae
afdcbg,gbcdfag
afdceb,becdfab
afdceg,gecdfag
afdcgb,bgcdfab
afdcge,egcdfae
afdebc,cbedfac
afdebg,gbedfag
afdecb,bcedfab
afdecg,gcedfag
afdegb,bgedfab
afdegc,cgedfac
afdgbc,cbgdfac
afdgbe,ebgdfae
afdgcb,bcgdfab
afdgce,ecgdfae
afdgeb,begdfab
afdgec,cegdfac
afebcd,dcbefad
afebcg,gcbefag
afebdc,cdbefac
afebdg,gdbefag
afebgc,cgbefac
afebgd,dgbefad
afecbd,dbcefad
afecbg,gbcefag
afecdb,bdcefab
afecdg,gdcefag
afecgb,bgcefab
afecgd,dgcefad
afedbc,cbdefac
afedbg,gbdefag
afedcb,bcdefab
afedcg,gcdefag
afedgb,bgdefab
afedgc,cgdefac
afegbc,cbgefac
afegbd,dbgefad
afegcb,bcgefab
afegcd,dcgefad
afegdb,bdgefab
afegdc,cdgefac
afgbcd,dcbgfad
afgbce,ecbgfae
afgbdc,cdbgfac
afgbde,edbgfae
afgbec,cebgfac
afgbed,debgfad
afgcbd,dbcgfad
afgcbe,ebcgfae
afgcdb,bdcgfab
afgcde,edcgfae
afgceb,becgfab
afgced,decgfad
afgdbc,cbdgfac
afgdbe,ebdgfae
afgdcb,bcdgfab
afgdce,ecdgfae
afgdeb,bedgfab
afgdec,cedgfac
afgebc,cbegfac
afgebd,dbegfad
afgecb,bcegfab
afgecd,dcegfad
afgedb,bdegfab
afgedc,cdegfac
agbcde,edcbgae
agbcdf,fdcbgaf
agbced,decbgad
agbcef,fecbgaf
agbcfd,dfcbgad
agbcfe,efcbgae
agbdce,ecdbgae
agbdcf,fcdbgaf
agbdec,cedbgac
agbdef,fedbgaf
agbdfc,cfdbgac
agbdfe,efdbgae
agbecd,dcebgad
agbecf,fcebgaf
agbedc,cdebgac
agbedf,fdebgaf
agbefc,cfebgac
agbefd,dfebgad
agbfcd,dcfbgad
agbfce,ecfbgae
agbfdc,cdfbgac
agbfde,edfbgae
agbfec,cefbgac
agbfed,defbgad
agcbde,edbcgae
agcbdf,fdbcgaf
agcbed,debcgad
agcbef,febcgaf
agcbfd,dfbcgad
agcbfe,efbcgae
agcdbe,ebdcgae
agcdbf,fbdcgaf
agcdeb,bedcgab
agcdef,fedcgaf
agcdfb,bfdcgab
agcdfe,efdcgae
agcebd,dbecgad
agcebf,fbecgaf
agcedb,bdecgab
agcedf,fdecgaf
agcefb,bfecgab
agcefd,dfecgad
agcfbd,dbfcgad
agcfbe,ebfcgae
agcfdb,bdfcgab
agcfde,edfcgae
agcfeb,befcgab
agcfed,defcgad
agdbce,ecbdgae
agdbcf,fcbdgaf
agdbec,cebdgac
agdbef,febdgaf
agdbfc,cfbdgac
agdbfe,efbdgae
agdcbe,ebcdgae
agdcbf,fbcdgaf
agdceb,becdgab
agdcef,fecdgaf
agdcfb,bfcdgab
agdcfe,efcdgae
agdebc,cbedgac
agdebf,fbedgaf
agdecb,bcedgab
agdecf,fcedgaf
agdefb,bfedgab
agdefc,cfedgac
agdfbc,cbfdgac
agdfbe,ebfdgae
agdfcb,bcfdgab
agdfce,ecfdgae
agdfeb,befdgab
agdfec,cefdgac
agebcd,dcbegad
agebcf,fcbegaf
agebdc,cdbegac
agebdf,fdbegaf
agebfc,cfbegac
agebfd,dfbegad
agecbd,dbcegad
agecbf,fbcegaf
agecdb,bdcegab
agecdf,fdcegaf
agecfb,bfcegab
agecfd,dfcegad
agedbc,cbdegac
agedbf,fbdegaf
agedcb,bcdegab
agedcf,fcdegaf
agedfb,bfdegab
agedfc,cfdegac
agefbc,cbfegac
agefbd,dbfegad
agefcb,bcfegab
agefcd,dcfegad
agefdb,bdfegab
agefdc,cdfegac
agfbcd,dcbfgad
agfbce,ecbfgae
agfbdc,cdbfgac
agfbde,edbfgae
agfbec,cebfgac
agfbed,debfgad
agfcbd,dbcfgad
agfcbe,ebcfgae
agfcdb,bdcfgab
agfcde,edcfgae
agfceb,becfgab
agfced,decfgad
agfdbc,cbdfgac
agfdbe,ebdfgae
agfdcb,bcdfgab
agfdce,ecdfgae
agfdeb,bedfgab
agfdec,cedfgac
agfebc,cbefgac
agfebd,dbefgad
agfecb,bcefgab
agfecd,dcefgad
agfedb,bdefgab
agfedc,cdefgac
bacdef,fedcabf
bacdeg,gedcabg
bacdfe,efdcabe
bacdfg,gfdcabg
bacdge,egdcabe
bacdgf,fgdcabf
bacedf,fdecabf
bacedg,gdecabg
bacefd,dfecabd
bacefg,gfecabg
bacegd,dgecabd
bacegf,fgecabf
bacfde,edfcabe
bacfdg,gdfcabg
bacfed,defcabd
bacfeg,gefcabg
bacfgd,dgfcabd
bacfge,egfcabe
bacgde,edgcabe
bacgdf,fdgcabf
bacged,degcabd
bacgef,fegcabf
bacgfd,dfgcabd
bacgfe,efgcabe
badcef,fecdabf
badceg,gecdabg
badcfe,efcdabe
badcfg,gfcdabg
badcge,egcdabe
badcgf,fgcdabf
badecf,fcedabf
badecg,gcedabg
badefc,cfedabc
badefg,gfedabg
badegc,cgedabc
badegf,fgedabf
badfce,ecfdabe
badfcg,gcfdabg
badfec,cefdabc
badfeg,gefdabg
badfgc,cgfdabc
badfge,egfdabe
badgce,ecgdabe
badgcf,fcgdabf
badgec,cegdabc
badgef,fegdabf
badgfc,cfgdabc
badgfe,efgdabe
baecdf,fdceabf
baecdg,gdceabg
baecfd,dfceabd
baecfg,gfceabg
baecgd,dgceabd
baecgf,fgceabf
baedcf,fcdeabf
baedcg,gcdeabg
baedfc,cfdeabc
baedfg,gfdeabg
baedgc,cgdeabc
baedgf,fgdeabf
baefcd,dcfeabd
baefcg,gcfeabg
baefdc,cdfeabc
baefdg,gdfeabg
baefgc,cgfeabc
baefgd,dgfeabd
baegcd,dcgeabd
baegcf,fcgeabf
baegdc,cdgeabc
baegdf,fdgeabf
baegfc,cfgeabc
baegfd,dfgeabd
bafcde,edcfabe
bafcdg,gdcfabg
bafced,decfabd
bafceg,gecfabg
bafcgd,dgcfabd
bafcge,egcfabe
bafdce,ecdfabe
bafdcg,gcdfabg
bafdec,cedfabc
bafdeg,gedfabg
bafdgc,cgdfabc
bafdge,egdfabe
bafecd,dcefabd
bafecg,gcefabg
bafedc,cdefabc
bafedg,gdefabg
bafegc,cgefabc
bafegd,dgefabd
bafgcd,dcgfabd
bafgce,ecgfabe
bafgdc,cdgfabc
bafgde,edgfabe
bafgec,cegfabc
bafged,degfabd
bagcde,edcgabe
bagcdf,fdcgabf
bagced,decgabd
bagcef,fecgabf
bagcfd,dfcgabd
bagcfe,efcgabe
bagdce,ecdgabe
bagdcf,fcdgabf
bagdec,cedgabc
bagdef,fedgabf
bagdfc,cfdgabc
bagdfe,efdgabe
bagecd,dcegabd
bagecf,fcegabf
bagedc,cdegabc
bagedf,fdegabf
bagefc,cfegabc
bagefd,dfegabd
bagfcd,dcfgabd
bagfce,ecfgabe
bagfdc,cdfgabc
bagfde,edfgabe
bagfec,cefgabc
bagfed,defgabd
bcadef,fedacbf
bcadeg,gedacbg
bcadfe,efdacbe
bcadfg,gfdacbg
bcadge,egdacbe
bcadgf,fgdacbf
bcaedf,fdeacbf
bcaedg,gdeacbg
bcaefd,dfeacbd
bcaefg,gfeacbg
bcaegd,dgeacbd
bcaegf,fgeacbf
bcafde,edfacbe
bcafdg,gdfacbg
bcafed,defacbd
bcafeg,gefacbg
bcafgd,dgfacbd
bcafge,egfacbe
bcagde,edgacbe
bcagdf,fdgacbf
bcaged,degacbd
bcagef,fegacbf
bcagfd,dfgacbd
bcagfe,efgacbe
bcdaef,feadcbf
bcdaeg,geadcbg
bcdafe,efadcbe
bcdafg,gfadcbg
bcdage,egadcbe
bcdagf,fgadcbf
bcdeaf,faedcbf
bcdeag,gaedcbg
bcdefa,afedcba
bcdefg,gfedcbg
bcdega,agedcba
bcdegf,fgedcbf
bcdfae,eafdcbe
bcdfag,gafdcbg
bcdfea,aefdcba
bcdfeg,gefdcbg
bcdfga,agfdcba
bcdfge,egfdcbe
bcdgae,eagdcbe
bcdgaf,fagdcbf
bcdgea,aegdcba
bcdgef,fegdcbf
bcdgfa,afgdcba
bcdgfe,efgdcbe
bceadf,fdaecbf
bceadg,gdaecbg
bceafd,dfaecbd
bceafg,gfaecbg
bceagd,dgaecbd
bceagf,fgaecbf
bcedaf,fadecbf
bcedag,gadecbg
bcedfa,afdecba
bcedfg,gfdecbg
bcedga,agdecba
bcedgf,fgdecbf
bcefad,dafecbd
bcefag,gafecbg
bcefda,adfecba
bcefdg,gdfecbg
bcefga,agfecba
bcefgd,dgfecbd
bcegad,dagecbd
bcegaf,fagecbf
bcegda,adgecba
bcegdf,fdgecbf
bcegfa,afgecba
bcegfd,dfgecbd
bcfade,edafcbe
bcfadg,gdafcbg
bcfaed,deafcbd
bcfaeg,geafcbg
bcfagd,dgafcbd
bcfage,egafcbe
bcfdae,eadfcbe
bcfdag,gadfcbg
bcfdea,aedfcba
bcfdeg,gedfcbg
bcfdga,agdfcba
bcfdge,egdfcbe
bcfead,daefcbd
bcfeag,gaefcbg
bcfeda,adefcba
bcfedg,gdefcbg
bcfega,agefcba
bcfegd,dgefcbd
bcfgad,dagfcbd
bcfgae,eagfcbe
bcfgda,adgfcba
bcfgde,edgfcbe
bcfgea,aegfcba
bcfged,degfcbd
bcgade,edagcbe
bcgadf,fdagcbf
bcgaed,deagcbd
bcgaef,feagcbf
bcgafd,dfagcbd
bcgafe,efagcbe
bcgdae,eadgcbe
bcgdaf,fadgcbf
bcgdea,aedgcba
bcgdef,fedgcbf
bcgdfa,afdgcba
bcgdfe,efdgcbe
bcgead,daegcbd
bcgeaf,faegcbf
bcgeda,adegcba
bcgedf,fdegcbf
bcgefa,afegcba
bcgefd,dfegcbd
bcgfad,dafgcbd
bcgfae,eafgcbe
bcgfda,adfgcba
bcgfde,edfgcbe
bcgfea,aefgcba
bcgfed,defgcbd
bdacef,fecadbf
bdaceg,gecadbg
bdacfe,efcadbe
bdacfg,gfcadbg
bdacge,egcadbe
bdacgf,fgcadbf
bdaecf,fceadbf
bdaecg,gceadbg
bdaefc,cfeadbc
bdaefg,gfeadbg
bdaegc,cgeadbc
bdaegf,fgeadbf
bdafce,ecfadbe
bdafcg,gcfadbg
bdafec,cefadbc
bdafeg,gefadbg
bdafgc,cgfadbc
bdafge,egfadbe
bdagce,ecgadbe
bdagcf,fcgadbf
bdagec,cegadbc
bdagef,fegadbf
bdagfc,cfgadbc
bdagfe,efgadbe
bdcaef,feacdbf
bdcaeg,geacdbg
bdcafe,efacdbe
bdcafg,gfacdbg
bdcage,egacdbe
bdcagf,fgacdbf
bdceaf,faecdbf
bdceag,gaecdbg
bdcefa,afecdba
bdcefg,gfecdbg
bdcega,agecdba
bdcegf,fgecdbf
bdcfae,eafcdbe
bdcfag,gafcdbg
bdcfea,aefcdba
bdcfeg,gefcdbg
bdcfga,agfcdba
bdcfge,egfcdbe
bdcgae,eagcdbe
bdcgaf,fagcdbf
bdcgea,aegcdba
bdcgef,fegcdbf
bdcgfa,afgcdba
bdcgfe,efgcdbe
bdeacf,fcaedbf
bdeacg,gcaedbg
bdeafc,cfaedbc
bdeafg,gfaedbg
bdeagc,cgaedbc
bdeagf,fgaedbf
bdecaf,facedbf
bdecag,gacedbg
bdecfa,afcedba
bdecfg,gfcedbg
bdecga,agcedba
bdecgf,fgcedbf
bdefac,cafedbc
bdefag,gafedbg
bdefca,acfedba
bdefcg,gcfedbg
bdefga,agfedba
bdefgc,cgfedbc
bdegac,cagedbc
bdegaf,fagedbf
bdegca,acgedba
bdegcf,fcgedbf
bdegfa,afgedba
bdegfc,cfgedbc
bdface,ecafdbe
bdfacg,gcafdbg
bdfaec,ceafdbc
bdfaeg,geafdbg
bdfagc,cgafdbc
bdfage,egafdbe
bdfcae,eacfdbe
bdfcag,gacfdbg
bdfcea,aecfdba
bdfceg,gecfdbg
bdfcga,agcfdba
bdfcge,egcfdbe
bdfeac,caefdbc
bdfeag,gaefdbg
bdfeca,acefdba
bdfecg,gcefdbg
bdfega,agefdba
bdfegc,cgefdbc
bdfgac,cagfdbc
bdfgae,eagfdbe
bdfgca,acgfdba
bdfgce,ecgfdbe
bdfgea,aegfdba
bdfgec,cegfdbc
bdgace,ecagdbe
bdgacf,fcagdbf
bdgaec,ceagdbc
bdgaef,feagdbf
bdgafc,cfagdbc
bdgafe,efagdbe
bdgcae,eacgdbe
bdgcaf,facgdbf
bdgcea,aecgdba
bdgcef,fecgdbf
bdgcfa,afcgdba
bdgcfe,efcgdbe
bdgeac,caegdbc
bdgeaf,faegdbf
bdgeca,acegdba
bdgecf,fcegdbf
bdgefa,afegdba
bdgefc,cfegdbc
bdgfac,cafgdbc
bdgfae,eafgdbe
bdgfca,acfgdba
bdgfce,ecfgdbe
bdgfea,aefgdba
bdgfec,cefgdbc
beacdf,fdcaebf
beacdg,gdcaebg
beacfd,dfcaebd
beacfg,gfcaebg
beacgd,dgcaebd
beacgf,fgcaebf
beadcf,fcdaebf
beadcg,gcdaebg
beadfc,cfdaebc
beadfg,gfdaebg
beadgc,cgdaebc
beadgf,fgdaebf
beafcd,dcfaebd
beafcg,gcfaebg
beafdc,cdfaebc
beafdg,gdfaebg
beafgc,cgfaebc
beafgd,dgfaebd
beagcd,dcgaebd
beagcf,fcgaebf
beagdc,cdgaebc
beagdf,fdgaebf
beagfc,cfgaebc
beagfd,dfgaebd
becadf,fdacebf
becadg,gdacebg
becafd,dfacebd
becafg,gfacebg
becagd,dgacebd
becagf,fgacebf
becdaf,fadcebf
becdag,gadcebg
becdfa,afdceba
becdfg,gfdcebg
becdga,agdceba
becdgf,fgdcebf
becfad,dafcebd
becfag,gafcebg
becfda,adfceba
becfdg,gdfcebg
becfga,agfceba
becfgd,dgfcebd
becgad,dagcebd
becgaf,fagcebf
becgda,adgceba
becgdf,fdgcebf
becgfa,afgceba
becgfd,dfgcebd
bedacf,fcadebf
bedacg,gcadebg
bedafc,cfadebc
bedafg,gfadebg
bedagc,cgadebc
bedagf,fgadebf
bedcaf,facdebf
bedcag,gacdebg
bedcfa,afcdeba
bedcfg,gfcdebg
bedcga,agcdeba
bedcgf,fgcdebf
bedfac,cafdebc
bedfag,gafdebg
bedfca,acfdeba
bedfcg,gcfdebg
bedfga,agfdeba
bedfgc,cgfdebc
bedgac,cagdebc
bedgaf,fagdebf
bedgca,acgdeba
bedgcf,fcgdebf
bedgfa,afgdeba
bedgfc,cfgdebc
befacd,dcafebd
befacg,gcafebg
befadc,cdafebc
befadg,gdafebg
befagc,cgafebc
befagd,dgafebd
befcad,dacfebd
befcag,gacfebg
befcda,adcfeba
befcdg,gdcfebg
befcga,agcfeba
befcgd,dgcfebd
befdac,cadfebc
befdag,gadfebg
befdca,acdfeba
befdcg,gcdfebg
befdga,agdfeba
befdgc,cgdfebc
befgac,cagfebc
befgad,dagfebd
befgca,acgfeba
befgcd,dcgfebd
befgda,adgfeba
befgdc,cdgfebc
begacd,dcagebd
begacf,fcagebf
begadc,cdagebc
begadf,fdagebf
begafc,cfagebc
begafd,dfagebd
begcad,dacgebd
begcaf,facgebf
begcda,adcgeba
begcdf,fdcgebf
begcfa,afcgeba
begcfd,dfcgebd
begdac,cadgebc
begdaf,fadgebf
begdca,acdgeba
begdcf,fcdgebf
begdfa,afdgeba
begdfc,cfdgebc
begfac,cafgebc
begfad,dafgebd
begfca,acfgeba
begfcd,dcfgebd
begfda,adfgeba
begfdc,cdfgebc
bfacde,edcafbe
bfacdg,gdcafbg
bfaced,decafbd
bfaceg,gecafbg
bfacgd,dgcafbd
bfacge,egcafbe
bfadce,ecdafbe
bfadcg,gcdafbg
bfadec,cedafbc
bfadeg,gedafbg
bfadgc,cgdafbc
bfadge,egdafbe
bfaecd,dceafbd
bfaecg,gceafbg
bfaedc,cdeafbc
bfaedg,gdeafbg
bfaegc,cgeafbc
bfaegd,dgeafbd
bfagcd,dcgafbd
bfagce,ecgafbe
bfagdc,cdgafbc
bfagde,edgafbe
bfagec,cegafbc
bfaged,degafbd
bfcade,edacfbe
bfcadg,gdacfbg
bfcaed,deacfbd
bfcaeg,geacfbg
bfcagd,dgacfbd
bfcage,egacfbe
bfcdae,eadcfbe
bfcdag,gadcfbg
bfcdea,aedcfba
bfcdeg,gedcfbg
bfcdga,agdcfba
bfcdge,egdcfbe
bfcead,daecfbd
bfceag,gaecfbg
bfceda,adecfba
bfcedg,gdecfbg
bfcega,agecfba
bfcegd,dgecfbd
bfcgad,dagcfbd
bfcgae,eagcfbe
bfcgda,adgcfba
bfcgde,edgcfbe
bfcgea,aegcfba
bfcged,degcfbd
bfdace,ecadfbe
bfdacg,gcadfbg
bfdaec,ceadfbc
bfdaeg,geadfbg
bfdagc,cgadfbc
bfdage,egadfbe
bfdcae,eacdfbe
bfdcag,gacdfbg
bfdcea,aecdfba
bfdceg,gecdfbg
bfdcga,agcdfba
bfdcge,egcdfbe
bfdeac,caedfbc
bfdeag,gaedfbg
bfdeca,acedfba
bfdecg,gcedfbg
bfdega,agedfba
bfdegc,cgedfbc
bfdgac,cagdfbc
bfdgae,eagdfbe
bfdgca,acgdfba
bfdgce,ecgdfbe
bfdgea,aegdfba
bfdgec,cegdfbc
bfeacd,dcaefbd
bfeacg,gcaefbg
bfeadc,cdaefbc
bfeadg,gdaefbg
bfeagc,cgaefbc
bfeagd,dgaefbd
bfecad,dacefbd
bfecag,gacefbg
bfecda,adcefba
bfecdg,gdcefbg
bfecga,agcefba
bfecgd,dgcefbd
bfedac,cadefbc
bfedag,gadefbg
bfedca,acdefba
bfedcg,gcdefbg
bfedga,agdefba
bfedgc,cgdefbc
bfegac,cagefbc
bfegad,dagefbd
bfegca,acgefba
bfegcd,dcgefbd
bfegda,adgefba
bfegdc,cdgefbc
bfgacd,dcagfbd
bfgace,ecagfbe
bfgadc,cdagfbc
bfgade,edagfbe
bfgaec,ceagfbc
bfgaed,deagfbd
bfgcad,dacgfbd
bfgcae,eacgfbe
bfgcda,adcgfba
bfgcde,edcgfbe
bfgcea,aecgfba
bfgced,decgfbd
bfgdac,cadgfbc
bfgdae,eadgfbe
bfgdca,acdgfba
bfgdce,ecdgfbe
bfgdea,aedgfba
bfgdec,cedgfbc
bfgeac,caegfbc
bfgead,daegfbd
bfgeca,acegfba
bfgecd,dcegfbd
bfgeda,adegfba
bfgedc,cdegfbc
bgacde,edcagbe
bgacdf,fdcagbf
bgaced,decagbd
bgacef,fecagbf
bgacfd,dfcagbd
bgacfe,efcagbe
bgadce,ecdagbe
bgadcf,fcdagbf
bgadec,cedagbc
bgadef,fedagbf
bgadfc,cfdagbc
bgadfe,efdagbe
bgaecd,dceagbd
bgaecf,fceagbf
bgaedc,cdeagbc
bgaedf,fdeagbf
bgaefc,cfeagbc
bgaefd,dfeagbd
bgafcd,dcfagbd
bgafce,ecfagbe
bgafdc,cdfagbc
bgafde,edfagbe
bgafec,cefagbc
bgafed,defagbd
bgcade,edacgbe
bgcadf,fdacgbf
bgcaed,deacgbd
bgcaef,feacgbf
bgcafd,dfacgbd
bgcafe,efacgbe
bgcdae,eadcgbe
bgcdaf,fadcgbf
bgcdea,aedcgba
bgcdef,fedcgbf
bgcdfa,afdcgba
bgcdfe,efdcgbe
bgcead,daecgbd
bgceaf,faecgbf
bgceda,adecgba
bgcedf,fdecgbf
bgcefa,afecgba
bgcefd,dfecgbd
bgcfad,dafcgbd
bgcfae,eafcgbe
bgcfda,adfcgba
bgcfde,edfcgbe
bgcfea,aefcgba
bgcfed,defcgbd
bgdace,ecadgbe
bgdacf,fcadgbf
bgdaec,ceadgbc
bgdaef,feadgbf
bgdafc,cfadgbc
bgdafe,efadgbe
bgdcae,eacdgbe
bgdcaf,facdgbf
bgdcea,aecdgba
bgdcef,fecdgbf
bgdcfa,afcdgba
bgdcfe,efcdgbe
bgdeac,caedgbc
bgdeaf,faedgbf
bgdeca,acedgba
bgdecf,fcedgbf
bgdefa,afedgba
bgdefc,cfedgbc
bgdfac,cafdgbc
bgdfae,eafdgbe
bgdfca,acfdgba
bgdfce,ecfdgbe
bgdfea,aefdgba
bgdfec,cefdgbc
bgeacd,dcaegbd
bgeacf,fcaegbf
bgeadc,cdaegbc
bgeadf,fdaegbf
bgeafc,cfaegbc
bgeafd,dfaegbd
bgecad,dacegbd
bgecaf,facegbf
bgecda,adcegba
bgecdf,fdcegbf
bgecfa,afcegba
bgecfd,dfcegbd
bgedac,cadegbc
bgedaf,fadegbf
